task,task_label,dimension,description,n_pairs,n_actors,mean_left_minus_right_equal_actor,ci_low,ci_high,ci_excludes_zero,raw_pair_mean,raw_pair_sd,pct_left_better,pct_right_better,pct_tie_or_not_applicable
essay,Essay writing,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",119,7,-0.18090569561157796,-0.4117647058823529,0.08986928104575162,False,-0.18487394957983194,0.9739521666692323,0.3949579831932773,0.5798319327731093,0.025210084033613446
essay,Essay writing,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",119,7,-0.15423669467787113,-0.40336134453781514,0.10626750700280112,False,-0.15966386554621848,0.9653592751529939,0.3949579831932773,0.5546218487394958,0.05042016806722689
essay,Essay writing,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,119,7,-0.07872315592903827,-0.3354925303454715,0.2017390289449113,False,-0.08403361344537816,0.8086380256256067,0.2857142857142857,0.3697478991596639,0.3445378151260504
essay,Essay writing,plausibility_overreach,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",119,7,0.008403361344537815,0.0,0.025210084033613443,False,0.008403361344537815,0.15922472762391746,0.01680672268907563,0.008403361344537815,0.9747899159663865
essay,Essay writing,rhetorical_coherence_closure,"Which essay has better paragraph flow, transitions, and final synthesis?",119,7,-0.20734126984126983,-0.4117647058823529,0.01114612511671336,False,-0.21008403361344538,0.8117145442537563,0.24369747899159663,0.453781512605042,0.3025210084033613
essay,Essay writing,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,119,7,-0.21177637721755369,-0.41176470588235287,0.005018674136321193,False,-0.21008403361344538,0.8721097503223554,0.29411764705882354,0.5042016806722689,0.20168067226890757
grant_proposal_abstract,Grant abstract,evaluation_rigor,"Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",119,7,-0.16141456582633054,-0.40231092436974786,0.08123249299719888,False,-0.15966386554621848,0.9913455440718099,0.42016806722689076,0.5798319327731093,0.0
grant_proposal_abstract,Grant abstract,feasibility_implementation_readiness,"Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",119,7,-0.2126517273576097,-0.3445378151260505,-0.07913165266106444,True,-0.21008403361344538,0.9466618387504082,0.36134453781512604,0.5714285714285714,0.06722689075630252
grant_proposal_abstract,Grant abstract,intervention_specificity,"Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",119,7,-0.27089169000933705,-0.4642857142857143,-0.07026143790849673,True,-0.2689075630252101,0.9628478151358123,0.36134453781512604,0.6302521008403361,0.008403361344537815
grant_proposal_abstract,Grant abstract,measurable_impact,"Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",119,7,-0.06162464985994398,-0.21848739495798322,0.09530812324929872,False,-0.058823529411764705,0.9592910309981739,0.42857142857142855,0.48739495798319327,0.08403361344537816
