run_id,run_dir,actor,actor_label,task,task_label,pair_uid,panel_winner_condition,complete,n_valid_vote_rows
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:0:vbbde81194b:r0,tie,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:0:vbbde81194b:r1,tie,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:0:vbbde81194b:r2,tie,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:0:vbbde81194b:r3,tie,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:0:vbbde81194b:r4,tie,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:1:vb8e53a24cd:r0,user_strong,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:1:vb8e53a24cd:r1,tie,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:1:vb8e53a24cd:r2,tie,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:1:vb8e53a24cd:r3,user_strong,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:1:vb8e53a24cd:r4,user_normal,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:2:v9a40f5a411:r0,user_strong,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:2:v9a40f5a411:r1,user_strong,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:2:v9a40f5a411:r2,user_strong,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:2:v9a40f5a411:r3,user_strong,True,6
essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,user_prompt_role:deepseek-v3.2-or:essay:2:v9a40f5a411:r4,tie,True,6
