coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
moral_low_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i3:r2::b:r0:incident_postmortem:gpt-5.4-mini-or:i3:r2,moral_low_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,r0,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"Output A provides a more detailed breakdown of user impact (patients contacting clinic, staff reconciling records) and clinical impact (no direct evidence of incorrect fulfillment, no orders lost), whereas B is slightly more generic."
moral_low_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i3:r2::b:r0:incident_postmortem:gpt-5.4-mini-or:i3:r2,moral_low_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,r0,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"Output A uses specific timestamps (09:10, 09:25, etc.) which are more precise than B's relative 'T0 + minutes' format, even if both are approximate."
moral_low_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i3:r2::b:r0:incident_postmortem:gpt-5.4-mini-or:i3:r2,moral_low_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,r0,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,"Output A explains the root cause more clearly by stating that 'invalidation was only triggered for one of several state-transition events,' which is a more precise technical detail than B's 'invalidation path depended on a status-transition event that was not consistently emitted for all update scenarios.'"
moral_low_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i3:r2::b:r0:incident_postmortem:gpt-5.4-mini-or:i3:r2,moral_low_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,r0,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"Output A provides a more distinct list of contributing factors, including the distributed logic, test coverage, monitoring, cache TTL, and lack of freshness metadata. B's list is good but slightly less granular."
moral_low_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i3:r2::b:r0:incident_postmortem:gpt-5.4-mini-or:i3:r2,moral_low_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,r0,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,A,left,1.0,"Output A explicitly states that 'Monitoring detected the presence of backend errors and latency, but not stale-data correctness,' and 'Our observability did not include a signal for stale-data risk,' which directly addresses why the incident wasn't detected earlier or why alerts failed. B mentions 'lack of cache staleness monitoring' but A's explanation is more thorough."
moral_low_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i3:r2::b:r0:incident_postmortem:gpt-5.4-mini-or:i3:r2,moral_low_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,r0,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",B,right,-1.0,"Output B's action items are more concrete by including owners and due dates, which are crucial for accountability and prioritization. A's action items are good but lack these details."
moral_low_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i3:r2::b:r0:incident_postmortem:gpt-5.4-mini-or:i3:r2,moral_low_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,r0,blameless_systems_framing,Which postmortem avoids individual blame while still giving a candid causal account?,tie,tie,0.0,"Both outputs maintain a blameless tone, focusing on system failures and process improvements rather than individual fault."
moral_low_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i3:r2::b:r0:incident_postmortem:gpt-5.4-mini-or:i3:r2,moral_low_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,r0,operational_realism,Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,tie,tie,0.0,"Both postmortems read like realistic engineering documents, covering the expected sections and using appropriate technical language."
moral_low_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_moral:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::b:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,moral_low_vs_r0,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,moral_low,r0,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,A,right,-1.0,"Output A's thesis clearly outlines three distinct arguments (employee well-being, business productivity, economic equity) that are then explored in the body paragraphs. Output B's thesis is a bit more generic ('promotes public health, enhances long-term workforce retention, and strengthens our broader economy') and less distinct in its framing of the stakes."
moral_low_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_moral:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::b:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,moral_low_vs_r0,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,moral_low,r0,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",A,right,-1.0,"Output A provides more detailed causal reasoning for its arguments. For example, it explains *how* paid leave reduces burnout and medical complications, and *how* high turnover is expensive. Output B's arguments are generally more asserted without as much underlying explanation."
