actor,actor_label,task,task_label,run_id,run_dir,n_pairs,complete_pairs,left_wins,right_wins,ties,unresolved,n_excluding_ties,left_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive,familywise_ci_method
deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45;essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_04-07-18Z__hash-c1a0f249ff74,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_04-07-18Z__hash-c1a0f249ff74,300,300,90,38,172,0,128,0.703125,0.5646142914690109,0.8196031551198879,True,4.9228475594375145e-06,0.00011814834142650035,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_01-12-15Z__hash-fda380bf80ec;grant_proposal_abstract__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_04-28-35Z__hash-f9ef5570c321,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_01-12-15Z__hash-fda380bf80ec;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_04-28-35Z__hash-f9ef5570c321,300,300,75,51,174,0,126,0.5952380952380952,0.45246126485040894,0.7275454754089319,False,0.04003575935628392,0.6005363903442589,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,incident_postmortem__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_01-48-28Z__hash-adc847d791d1;incident_postmortem__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_05-08-51Z__hash-18a0d6e5dfe0,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_01-48-28Z__hash-adc847d791d1;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_05-08-51Z__hash-18a0d6e5dfe0,300,298,79,78,141,2,157,0.5031847133757962,0.3774516327023217,0.6286365805494865,False,1.0,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,translation__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_02-54-08Z__hash-06073082262b;translation__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_06-20-25Z__hash-384f340decd4,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_02-54-08Z__hash-06073082262b;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_06-20-25Z__hash-384f340decd4,300,298,64,58,176,2,122,0.5245901639344263,0.38113921848687526,0.6652515590098935,False,0.65095981621607,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
glm-5.1-or,GLM-5.1,essay,Essay writing,essay__framed_user_prompt_role__glm-5.1-or__2026-06-21_00-41-30Z__hash-c642903312de;essay__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-07-49Z__hash-1c96df57442b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__glm-5.1-or__2026-06-21_00-41-30Z__hash-c642903312de;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-07-49Z__hash-1c96df57442b,300,298,98,23,177,2,121,0.8099173553719008,0.6784197356693634,0.9056861936138313,True,3.239856563400591e-12,8.747612721181596e-11,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__framed_user_prompt_role__glm-5.1-or__2026-06-21_01-11-31Z__hash-155bcb1e2fb4;grant_proposal_abstract__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-25-57Z__hash-b87630d97fe2,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__glm-5.1-or__2026-06-21_01-11-31Z__hash-155bcb1e2fb4;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-25-57Z__hash-b87630d97fe2,300,292,115,71,106,8,186,0.6182795698924731,0.5015468056108783,0.7261841362637994,True,0.0015466250339729128,0.029385875645485345,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,incident_postmortem__framed_user_prompt_role__glm-5.1-or__2026-06-21_01-43-04Z__hash-ff6042806f13;incident_postmortem__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-55-49Z__hash-a287abf4fba4,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__glm-5.1-or__2026-06-21_01-43-04Z__hash-ff6042806f13;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-55-49Z__hash-a287abf4fba4,300,290,100,56,134,10,156,0.6410256410256411,0.513665071011282,0.7558391757305407,True,0.0005336333501521188,0.011739933703346615,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
glm-5.1-or,GLM-5.1,translation,Translation,translation__framed_user_prompt_role__glm-5.1-or__2026-06-21_02-20-25Z__hash-d475fb8cefa0;translation__framed_user_prompt_role__glm-5.1-or__2026-06-21_05-35-16Z__hash-3bb9cbf86404,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__glm-5.1-or__2026-06-21_02-20-25Z__hash-d475fb8cefa0;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__glm-5.1-or__2026-06-21_05-35-16Z__hash-3bb9cbf86404,300,298,77,36,185,2,113,0.6814159292035398,0.5321684252175856,0.8084115423032159,True,0.00014401960112955247,0.0033124508259797067,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,essay__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-16-44Z__hash-b7363d777c17;essay__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-07-30Z__hash-5ae97cc759c5,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-16-44Z__hash-b7363d777c17;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-07-30Z__hash-5ae97cc759c5,300,300,123,12,165,0,135,0.9111111111111111,0.8095511198300641,0.9696581902283703,True,2.3484967053458445e-24,6.575790774968364e-23,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-41-18Z__hash-dd4659338406;grant_proposal_abstract__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-18-43Z__hash-512230f19fe3,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-41-18Z__hash-dd4659338406;/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-18-43Z__hash-512230f19fe3,300,300,58,42,200,0,100,0.58,0.4196320015966664,0.7293164414321494,False,0.1332106192072134,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
