Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% amount high higher/better,% amount low higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Words,words,Full paired dataset,2100,7,-4.546190476190477,-6.771428571428571,-2.394761904761905,-4.5,"[-6.8, -2.4]",True,Higher for amount low,0.3482925087232474,2100,"+0.35 (n=2,100)",42.4%,55.6%,2.0%,Raw feature units; positive means amount high output has more/higher feature value.,Word count.,outputs/analysis/amount_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,0.0029427630102548,0.0017536440285177,0.0040688924739357,0.0029,"[0.0018, 0.0041]",True,Higher for amount high,0.055956642134206314,2100,"+0.06 (n=2,100)",52.7%,47.2%,0.1%,Raw feature units; positive means amount high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/amount_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Argument depth,argument_depth,Random actor-balanced A/B-coded sample,120,7,-0.1325863678804855,-0.2334267040149393,-0.0252100840336134,-0.13,"[-0.23, -0.03]",True,Higher for amount low,0.41032446230744296,120,+0.41 (n=120),41.7%,55.0%,3.3%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.","Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Words,words,Full paired dataset,2100,7,-5.057142857142857,-9.02047619047619,-1.313809523809524,-5.1,"[-9.0, -1.3]",True,Higher for amount low,0.304664011017825,2100,"+0.30 (n=2,100)",44.5%,54.6%,1.0%,Raw feature units; positive means amount high output has more/higher feature value.,Word count.,outputs/analysis/amount_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,2100,7,0.6982436214664103,0.2576944971560362,1.0654475339613538,0.70,"[0.26, 1.07]",True,Higher for amount high,0.030739810360588437,2100,"+0.03 (n=2,100)",53.3%,46.7%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/amount_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,2100,7,0.2010829176133677,0.1305389030972311,0.2583486980101132,0.20,"[0.13, 0.26]",True,Higher for amount high,0.12750503540816982,2100,"+0.13 (n=2,100)",56.8%,43.2%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/amount_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,2100,7,0.0698989395580426,0.0118217192532256,0.1298287261630343,0.070,"[0.012, 0.130]",True,Higher for amount high,0.35617426451665324,2100,"+0.36 (n=2,100)",43.5%,36.0%,20.4%,Within-task z-score units; positive means amount high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/amount_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,2100,7,0.0037951521482193,0.0013393774645267,0.006781446064942,0.0038,"[0.0013, 0.0068]",True,Higher for amount high,0.11797962071457668,2100,"+0.12 (n=2,100)",56.6%,43.4%,0.0%,Raw feature units; positive means amount high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/amount_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Evaluation rigor,evaluation_rigor,Random actor-balanced A/B-coded sample,120,7,0.392156862745098,0.2661064425770308,0.5126050420168067,0.39,"[0.27, 0.51]",True,Higher for amount high,0.3622791274362467,120,+0.36 (n=120),69.2%,30.0%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.","Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Risk mitigation,risk_mitigation,Random actor-balanced A/B-coded sample,120,7,0.392156862745098,0.257703081232493,0.5378151260504201,0.39,"[0.26, 0.54]",True,Higher for amount high,0.47805408161028007,120,+0.48 (n=120),69.2%,30.0%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.",Which abstract identifies more realistic risks and more credible mitigation plans?,CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Intervention specificity,intervention_specificity,Random actor-balanced A/B-coded sample,120,7,0.3739495798319328,0.2436974789915966,0.5252100840336134,0.37,"[0.24, 0.53]",True,Higher for amount high,0.33752617686531156,120,+0.34 (n=120),68.3%,30.8%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.","Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,LLM rubric marker,Problem significance,problem_significance,Random actor-balanced A/B-coded sample,120,7,0.3669467787114845,0.2492997198879551,0.4594537815126041,0.37,"[0.25, 0.46]",True,Higher for amount high,0.4176995742498182,120,+0.42 (n=120),55.8%,19.2%,25.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored amount high output.","Which abstract more clearly states the need, affected population, and consequence of the problem?",CURRENT_PAPER/features/amount_rubric_coding/rubric_feature_analysis_by_task_dimension.csv
