sample_index,coding_pair_uid,comparison_name,source_mode,actor,task,task_label,item_label,item_index,repeat,source_pair_uid,left_condition,right_condition,left_raw_condition,right_raw_condition,left_output_id,right_output_id,left_run_dir,right_run_dir,a_side,b_side,output_a_id,output_b_id,panel_winner_condition,effect_score_left_minus_right
0,amount:modgrid_incident_amount:gpt-5.4-mini-or:incident_postmortem:i13:r6,amount,pair_deltas,gpt-5.4-mini-or,incident_postmortem,Incident postmortem,A rate limiter treated shared school IP addresses as abusive traffic and blocked student logins.,5,6,modgrid_incident_amount:gpt-5.4-mini-or:incident_postmortem:i13:r6,amount_high,amount_low,amount_high,amount_low,modgrid_incident_amount:gpt-5.4-mini-or:incident_postmortem:i13:r6::a,modgrid_incident_amount:gpt-5.4-mini-or:incident_postmortem:i13:r6::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__gpt-5.4-mini-or__2026-06-15_03-41-24Z__hash-0aeb5997612e,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__gpt-5.4-mini-or__2026-06-15_03-41-24Z__hash-0aeb5997612e,left,right,modgrid_incident_amount:gpt-5.4-mini-or:incident_postmortem:i13:r6::a,modgrid_incident_amount:gpt-5.4-mini-or:incident_postmortem:i13:r6::b,amount_low,-1.0
1,amount:modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1,amount,pair_deltas,glm-5.1-or,essay,Essay writing,Public museums should be free to all visitors,19,1,modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1,amount_high,amount_low,amount_high,amount_low,modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1::a,modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__modgrid_essay_amount__glm-5.1-or__2026-06-15_16-11-13Z__hash-a01ab234f473,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__modgrid_essay_amount__glm-5.1-or__2026-06-15_16-11-13Z__hash-a01ab234f473,right,left,modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1::b,modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1::a,amount_high,1.0
2,amount:modgrid_incident_amount:qwen3.6-plus-or:incident_postmortem:i1:r0,amount,pair_deltas,qwen3.6-plus-or,incident_postmortem,Incident postmortem,"A background job retried failed invoice emails too aggressively and sent duplicates to 31,000 customers.",1,0,modgrid_incident_amount:qwen3.6-plus-or:incident_postmortem:i1:r0,amount_high,amount_low,amount_high,amount_low,modgrid_incident_amount:qwen3.6-plus-or:incident_postmortem:i1:r0::a,modgrid_incident_amount:qwen3.6-plus-or:incident_postmortem:i1:r0::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount__qwen3.6-plus-or__2026-06-15_07-47-20Z__hash-4517f5f11cca,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount__qwen3.6-plus-or__2026-06-15_07-47-20Z__hash-4517f5f11cca,left,right,modgrid_incident_amount:qwen3.6-plus-or:incident_postmortem:i1:r0::a,modgrid_incident_amount:qwen3.6-plus-or:incident_postmortem:i1:r0::b,tie,0.0
3,amount:modgrid_grant_amount:qwen3.6-plus-or:grant_proposal_abstract:i28:r7,amount,pair_deltas,qwen3.6-plus-or,grant_proposal_abstract,Grant abstract,language-preservation archives for indigenous communities,21,7,modgrid_grant_amount:qwen3.6-plus-or:grant_proposal_abstract:i28:r7,amount_high,amount_low,amount_high,amount_low,modgrid_grant_amount:qwen3.6-plus-or:grant_proposal_abstract:i28:r7::a,modgrid_grant_amount:qwen3.6-plus-or:grant_proposal_abstract:i28:r7::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount+modgrid_grant_highlow+modgrid_grant_moral__qwen3.6-plus-or__2026-06-15_02-42-28Z__hash-e8c26b59bd39,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount+modgrid_grant_highlow+modgrid_grant_moral__qwen3.6-plus-or__2026-06-15_02-42-28Z__hash-e8c26b59bd39,left,right,modgrid_grant_amount:qwen3.6-plus-or:grant_proposal_abstract:i28:r7::a,modgrid_grant_amount:qwen3.6-plus-or:grant_proposal_abstract:i28:r7::b,tie,0.0
4,amount:modgrid_grant_amount:glm-5.1-or:grant_proposal_abstract:i10:r3,amount,pair_deltas,glm-5.1-or,grant_proposal_abstract,Grant abstract,community air-quality sensing for asthma management,2,3,modgrid_grant_amount:glm-5.1-or:grant_proposal_abstract:i10:r3,amount_high,amount_low,amount_high,amount_low,modgrid_grant_amount:glm-5.1-or:grant_proposal_abstract:i10:r3::a,modgrid_grant_amount:glm-5.1-or:grant_proposal_abstract:i10:r3::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount__glm-5.1-or__2026-06-15_16-11-13Z__hash-4c2d5956c28d,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount__glm-5.1-or__2026-06-15_16-11-13Z__hash-4c2d5956c28d,right,left,modgrid_grant_amount:glm-5.1-or:grant_proposal_abstract:i10:r3::b,modgrid_grant_amount:glm-5.1-or:grant_proposal_abstract:i10:r3::a,amount_high,1.0
5,amount:modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9,amount,pair_deltas,qwen3.6-plus-or,translation,Translation,澳洲统计局(ABS)数据显示，今年第二季度，全澳房屋价值平均上涨1.5%至2%，年增3.5%，创自2013年3月以来最低年增率。,9,9,modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9,amount_high,amount_low,amount_high,amount_low,modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9::a,modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_amount+modgrid_translation_highlow+modgrid_translation_moral__qwen3.6-plus-or__2026-06-15_02-42-28Z__hash-3a4e45ea5efd,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_amount+modgrid_translation_highlow+modgrid_translation_moral__qwen3.6-plus-or__2026-06-15_02-42-28Z__hash-3a4e45ea5efd,right,left,modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9::b,modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9::a,tie,0.0
6,amount:modgrid_incident_amount:qwen3.5-9b-or:incident_postmortem:i21:r7,amount,pair_deltas,qwen3.5-9b-or,incident_postmortem,Incident postmortem,A permissions migration briefly gave managers read access to archived customer notes.,14,7,modgrid_incident_amount:qwen3.5-9b-or:incident_postmortem:i21:r7,amount_high,amount_low,amount_high,amount_low,modgrid_incident_amount:qwen3.5-9b-or:incident_postmortem:i21:r7::a,modgrid_incident_amount:qwen3.5-9b-or:incident_postmortem:i21:r7::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__qwen3.5-9b-or__2026-06-15_02-41-12Z__hash-3cf4617eb0c7,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__qwen3.5-9b-or__2026-06-15_02-41-12Z__hash-3cf4617eb0c7,right,left,modgrid_incident_amount:qwen3.5-9b-or:incident_postmortem:i21:r7::b,modgrid_incident_amount:qwen3.5-9b-or:incident_postmortem:i21:r7::a,amount_low,-1.0
7,amount:modgrid_grant_amount:deepseek-v3.2-or:grant_proposal_abstract:i4:r5,amount,pair_deltas,deepseek-v3.2-or,grant_proposal_abstract,Grant abstract,adaptive tutoring for community college algebra,24,5,modgrid_grant_amount:deepseek-v3.2-or:grant_proposal_abstract:i4:r5,amount_high,amount_low,amount_high,amount_low,modgrid_grant_amount:deepseek-v3.2-or:grant_proposal_abstract:i4:r5::a,modgrid_grant_amount:deepseek-v3.2-or:grant_proposal_abstract:i4:r5::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount+modgrid_grant_highlow+modgrid_grant_moral__deepseek-v3.2-or__2026-06-15_02-39-58Z__hash-9da00b9e6cb6,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount+modgrid_grant_highlow+modgrid_grant_moral__deepseek-v3.2-or__2026-06-15_02-39-58Z__hash-9da00b9e6cb6,left,right,modgrid_grant_amount:deepseek-v3.2-or:grant_proposal_abstract:i4:r5::a,modgrid_grant_amount:deepseek-v3.2-or:grant_proposal_abstract:i4:r5::b,amount_high,1.0
8,amount:modgrid_incident_amount:glm-5.1-or:incident_postmortem:i21:r7,amount,pair_deltas,glm-5.1-or,incident_postmortem,Incident postmortem,A permissions migration briefly gave managers read access to archived customer notes.,14,7,modgrid_incident_amount:glm-5.1-or:incident_postmortem:i21:r7,amount_high,amount_low,amount_high,amount_low,modgrid_incident_amount:glm-5.1-or:incident_postmortem:i21:r7::a,modgrid_incident_amount:glm-5.1-or:incident_postmortem:i21:r7::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-21ed828ca923,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-21ed828ca923,left,right,modgrid_incident_amount:glm-5.1-or:incident_postmortem:i21:r7::a,modgrid_incident_amount:glm-5.1-or:incident_postmortem:i21:r7::b,amount_high,1.0
9,amount:modgrid_translation_amount:mimo-v25-pro-or:translation:i21:r5,amount,pair_deltas,mimo-v25-pro-or,translation,Translation,另外，今天还将出让白云区同和东坑蟾蜍石北路一幅二类居住用地（R2），用地面积32891平方米（可建设用地30965平方米），建筑面积92895平方米，挂牌起始价61311万元，折合楼面地价6600元/平方米。,14,5,modgrid_translation_amount:mimo-v25-pro-or:translation:i21:r5,amount_high,amount_low,amount_high,amount_low,modgrid_translation_amount:mimo-v25-pro-or:translation:i21:r5::a,modgrid_translation_amount:mimo-v25-pro-or:translation:i21:r5::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_amount+modgrid_translation_highlow+modgrid_translation_moral__mimo-v25-pro-or__2026-06-15_02-40-41Z__hash-225bfd045d95,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_amount+modgrid_translation_highlow+modgrid_translation_moral__mimo-v25-pro-or__2026-06-15_02-40-41Z__hash-225bfd045d95,left,right,modgrid_translation_amount:mimo-v25-pro-or:translation:i21:r5::a,modgrid_translation_amount:mimo-v25-pro-or:translation:i21:r5::b,amount_low,-1.0
