domain,actor,actor_label,task,task_label,resolved_n,target_wins,target_losses,ties,target_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,familywise_ci_negative,p_two_sided_exact,holm_p_two_sided,holm_positive,holm_negative
animals,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,61,14,47,14,0.22950819672131148,0.09019518771273632,0.42980549436597715,False,True,2.7191876822818543e-05,0.0007613725510389192,False,True
animals,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,75,29,46,0,0.38666666666666666,0.2212672830084277,0.5728462464583348,False,False,0.06394991646706692,1.0,False,False
animals,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,75,29,46,0,0.38666666666666666,0.2212672830084277,0.5728462464583348,False,False,0.06394991646706692,1.0,False,False
animals,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,61,31,30,14,0.5081967213114754,0.30849521272910896,0.706062058659453,False,False,1.0,1.0,False,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,60,42,18,15,0.7,0.49216556413688844,0.8621624056522321,False,False,0.002670436282807066,0.06409047078736958,False,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,74,28,46,1,0.3783783783783784,0.21342513369601718,0.5659294142611231,False,False,0.04739297550405176,0.9004665345769834,False,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,75,49,26,0,0.6533333333333333,0.46719168955015355,0.8113376660934072,False,False,0.01058211705170527,0.22222445808581068,False,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,57,26,31,18,0.45614035087719296,0.2568400689998657,0.6659337741018713,False,False,0.5966417603730826,1.0,False,False
animals,glm-5.1-or,GLM-5.1,essay,Essay writing,58,26,32,17,0.4482758620689655,0.25176498648768275,0.6569557766878593,False,False,0.5118423084381691,1.0,False,False
animals,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,75,21,54,0,0.28,0.13716767714272232,0.4632880258134387,False,True,0.00017630923003028777,0.00476034921081777,False,True
animals,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,75,37,38,0,0.49333333333333335,0.3137991950028688,0.6740887111568762,False,False,1.0,1.0,False,False
animals,glm-5.1-or,GLM-5.1,translation,Translation,67,25,42,8,0.373134328358209,0.20173871104796873,0.5705045554492951,False,False,0.04980011429472864,0.9004665345769834,False,False
animals,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,67,27,40,8,0.40298507462686567,0.22611330035291244,0.599709719331575,False,False,0.1420713794263756,1.0,False,False
animals,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,75,25,50,0,0.3333333333333333,0.17806760958724968,0.519193469318542,False,False,0.005228243004014281,0.12024958909232845,False,False
animals,kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,75,45,30,0,0.6,0.4140672826108885,0.7676010970067965,False,False,0.10534226887460482,1.0,False,False
