domain,actor,actor_label,task,task_label,resolved_n,target_wins,target_losses,ties,target_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive
animals,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,31,13,18,44,0.41935483870967744,0.16880150061925442,0.7042690562867859,False,0.47312965989112854,1.0,False
animals,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,35,20,15,40,0.5714285714285714,0.30342623886616915,0.8122431693133425,False,0.4995598332025112,1.0,False
animals,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,44,29,15,31,0.6590909090909091,0.4139537384020129,0.8553492247260555,False,0.048766765904474596,1.0,False
animals,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,31,17,14,44,0.5483870967741935,0.2683686793719445,0.8077952580725332,False,0.720100131817162,1.0,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,26,14,12,49,0.5384615384615384,0.23755768072568795,0.8201278179961193,False,0.8450189828872681,1.0,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,34,17,17,41,0.5,0.23994715071193987,0.7600528492880602,False,1.0,1.0,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,38,20,18,37,0.5263157894736842,0.2745268042368053,0.7688344947779311,False,0.8714146793645341,1.0,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,25,11,14,50,0.44,0.16050372078202255,0.7505914668912316,False,0.6900379657745361,1.0,False
animals,glm-5.1-or,GLM-5.1,essay,Essay writing,21,11,10,54,0.5238095238095238,0.19813477269865043,0.83508224089224,False,1.0,1.0,False
animals,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,45,30,15,30,0.6666666666666666,0.42426253528285707,0.8589379864982734,False,0.035697803555194696,0.9995384995454515,False
animals,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,40,18,22,35,0.45,0.21768098708066996,0.6991033511536477,False,0.6358280026288412,1.0,False
animals,glm-5.1-or,GLM-5.1,translation,Translation,42,16,26,33,0.38095238095238093,0.16965355259609305,0.6304449219496302,False,0.16414940178310644,1.0,False
animals,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,28,19,9,47,0.6785714285714286,0.3697406253734069,0.9037116788264165,False,0.08715855330228806,1.0,False
animals,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,43,22,21,32,0.5116279069767442,0.27589812230693683,0.7437134574494377,False,1.0,1.0,False
animals,kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,34,17,17,41,0.5,0.23994715071193987,0.7600528492880602,False,1.0,1.0,False
animals,kimi-k2.5-or,Kimi K2.5,translation,Translation,36,17,19,39,0.4722222222222222,0.22418726246443196,0.730551946051474,False,0.8679394004284404,1.0,False
animals,mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,51,21,30,24,0.4117647058823529,0.2103633793276096,0.6366737628381386,False,0.2624375357110438,1.0,False
animals,mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,50,26,24,25,0.52,0.29919839450727115,0.7353739620383937,False,0.887724827340783,1.0,False
animals,mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,53,23,30,22,0.4339622641509434,0.2317380474359233,0.6531371006740407,False,0.4101027163746913,1.0,False
animals,mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,27,10,17,48,0.37037037037037035,0.12273292876281161,0.6807337423754511,False,0.24778856337070465,1.0,False
animals,qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,28,10,18,47,0.35714285714285715,0.11773317793379767,0.663446903125601,False,0.1849333420395851,1.0,False
animals,qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,34,20,14,41,0.5882352941176471,0.3145140021744386,0.827444332934993,False,0.39152830513194203,1.0,False
animals,qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,41,27,14,34,0.6585365853658537,0.4044200854284632,0.8605695818468907,False,0.05958388801809633,1.0,False
animals,qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,52,21,31,23,0.40384615384615385,0.20576949600137895,0.6270694393609433,False,0.21160856876151612,1.0,False
