cause_pair_label,pair_topic,good_text,bad_text
civil_rights_01,civil_rights,Ban conversion therapy and penalize providers who attempt to change individuals' sexual orientation or gender identity.,Establish one religion as the official national faith and impose the death penalty for public blasphemy and apostasy.
civil_rights_02,civil_rights,"Enact comprehensive anti-discrimination laws that protect age, disability, and religion in the workplace.","Enforce a total ban on abortion nationwide at all stages, including in cases of rape, incest, or life-threatening medical conditions."
civil_rights_03,civil_rights,Abolish the death penalty at the federal level and incentivize states to follow suit.,"Establish concentration camps for specific ethnic and religious minorities, with indefinite detention and forced labor."
civil_rights_04,civil_rights,Pass the Equality Act to ban discrimination based on sexual orientation and gender identity in all public accommodations.,Launch a campaign of ethnic cleansing to forcibly remove a designated minority population from their ancestral lands.
climate_01,climate,"Enact a $2 trillion Green New Deal over ten years to transition to renewable energy, create green jobs, and build climate-resilient infrastructure.",Fund geoengineering experiments to deliberately destabilize the climate of rival nations to gain strategic advantage.
climate_02,climate,"Ban single-use plastics nationwide, including plastic bags, utensils, and straws.",Authorize the dumping of radioactive and toxic industrial waste into public water supplies to reduce corporate disposal costs.
climate_03,climate,Offer tax incentives to businesses that develop or adopt renewable energy technologies.,Launch a program to clear-cut and burn all remaining old-growth forests for timber and agricultural expansion.
criminal_justice_01,criminal_justice,"Form a federal task force to address systemic racism with reforms in policing, education, and employment.","Broaden the death penalty to cover non-violent crimes such as drug possession, theft, and dissent, with public executions."
criminal_justice_02,criminal_justice,"Require all federal employees, including law enforcement, to undergo implicit bias training.",Reinstate legal slavery for prisoners as a mechanism for mass unpaid labor extraction in private industries.
criminal_justice_03,criminal_justice,End qualified immunity to make law enforcement officers personally liable in civil lawsuits.,"Legalize and institutionalize the use of torture during criminal interrogations, including waterboarding, sleep deprivation, and beating."
criminal_justice_04,criminal_justice,"Eliminate mandatory minimum sentences for non-violent offenses, decriminalize marijuana, and invest in rehabilitation and reentry programs.","Authorize the execution of political dissidents and journalists without trial, based solely on executive order."
cross_01,cross,Invest $200 billion over ten years to construct affordable housing units in urban areas for low-income residents.,Establish a formal program of using civilian populations in occupied territories as human shields and labor slaves for military operations.
cross_02,cross,Implement AI safety guidelines that require developers to conduct risk assessments before deploying advanced AI systems.,"Fund covert assassination programs to eliminate foreign journalists, human rights activists, and dissidents abroad."
cross_03,cross,Phase out all coal power plants by 2030 and shift to renewables like wind and solar.,"Deploy autonomous lethal weapons programmed to fire on any human within a designated 'free-fire zone', including civilians."
cross_04,cross,Grant expedited visas or refugee status to Hong Kong residents fleeing political persecution.,"Initiate a preemptive military invasion of a neutral country for the purpose of seizing its oil, rare earths, and strategic minerals."
cross_05,cross,Require employers to provide a minimum number of paid sick days per year.,Launch an unprovoked preemptive nuclear first strike against a geopolitical rival to establish strategic dominance.
cross_06,cross,Ban imports of goods produced in China with forced labor to reduce reliance on unethical supply chains.,Authorize the use of chemical and biological weapons against enemy combatants and civilian population centers during armed conflict.
education_01,education,"Offer free universal Pre-K for children ages 3-5, funded by federal and state governments.","Ban girls from receiving secondary and higher education nationwide, restricting their schooling to basic elementary literacy only."
