actor,task,run_dir,expected_pairs,valid_pairs,complete_pairs,panel_user_strong,panel_user_normal,panel_tie,panel_unresolved
deepseek-v3.2-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,150,150,150,45,16,89,0
deepseek-v3.2-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_04-07-18Z__hash-c1a0f249ff74,150,150,150,45,22,83,0
glm-5.1-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__glm-5.1-or__2026-06-21_00-41-30Z__hash-c642903312de,150,150,150,48,11,91,0
glm-5.1-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-07-49Z__hash-1c96df57442b,150,148,148,50,12,86,2
gpt-5.4-mini-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-16-44Z__hash-b7363d777c17,150,150,150,55,9,86,0
gpt-5.4-mini-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_04-07-30Z__hash-5ae97cc759c5,150,150,150,68,3,79,0
kimi-k2.5-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_00-41-39Z__hash-f0b0df2d5052,150,150,150,47,9,94,0
kimi-k2.5-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__kimi-k2.5-or__2026-06-21_04-08-02Z__hash-b26912f9c9f0,150,150,150,26,10,114,0
mimo-v25-pro-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_00-41-51Z__hash-9eee9dc1472f,150,150,150,56,29,65,0
mimo-v25-pro-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_04-08-14Z__hash-a8cb77161e6f,150,149,149,46,34,69,1
