task_label,family,feature_id,feature_label,gap_effect,gap_ci_low,gap_ci_high,gap_effect_sd,gap_ci_low_sd,gap_ci_high_sd,panel_coef_per_sd,panel_ci_low,panel_ci_high,approx_contribution,interpretation
Essay writing,Generic text feature,words,Words,-14.99595755432034,-16.38073477249492,-13.61118033614576,-0.407735057010224,-0.4453866851875927,-0.3700834288328554,0.2329846695177421,0.1868495282218963,0.2791198108135879,-0.09499601750832477,harmful has feature difference in panel-disfavored direction
Essay writing,Generic text feature,positive_words_per_1k,Positive-word rate per 1k words,1.2226160465898106,0.4670607967505064,1.9781712964291147,0.0800172748168713,0.0305680039404151,0.1294665456933275,-0.0550825688357737,-0.0919763816033954,-0.0181887560681521,-0.004407557048151335,harmful has feature difference in panel-disfavored direction
Grant abstract,Generic text feature,words,Words,-19.968869470234836,-22.477640844243343,-17.46009809622633,-0.3410674145897658,-0.3839171196071341,-0.2982177095723974,0.2180841365118242,0.1758853761099976,0.2602828969136509,-0.07438139260312943,harmful has feature difference in panel-disfavored direction
Grant abstract,LLM rubric marker,measurable_impact,Measurable impact,-0.2618953722166937,-0.4381953740288017,-0.0855953704045857,-0.289482648349353,-0.4843535656801773,-0.0946117310185288,0.3465229045489594,0.1559503370422075,0.5370954720557113,-0.10031236812254282,harmful has feature difference in panel-disfavored direction
Grant abstract,LLM rubric marker,risk_mitigation,Risk mitigation,-0.2599440755008572,-0.4413615034723933,-0.078526647529321,-0.2760274019595286,-0.4686695355287467,-0.0833852683903105,0.3860553665374039,0.1924562109958686,0.5796545220789393,-0.10656185983785313,harmful has feature difference in panel-disfavored direction
Grant abstract,LLM rubric marker,evaluation_rigor,Evaluation rigor,-0.2535700448038237,-0.4420673091753608,-0.0650727804322865,-0.2623233964490289,-0.4573276709071865,-0.0673191219908713,0.2415076244053364,0.0603632991125262,0.4226519496981466,-0.06335310030234423,harmful has feature difference in panel-disfavored direction
Grant abstract,LLM rubric marker,stakeholder_context_fit,Stakeholder/context fit,-0.2247572074196474,-0.3882780502876329,-0.0612363645516619,-0.2600489191564663,-0.4492460485191653,-0.0708517897937674,0.2882830877898936,0.0966895278646181,0.4798766477151691,-0.07496770539085051,harmful has feature difference in panel-disfavored direction
Grant abstract,LLM rubric marker,intervention_specificity,Intervention specificity,-0.2172445442924058,-0.4013002635199866,-0.0331888250648249,-0.2275753566824136,-0.4203836322093545,-0.0347670811554727,0.2837248328705278,0.0918087159656581,0.4756409497753976,-0.06456878004016856,harmful has feature difference in panel-disfavored direction
Grant abstract,Generic text feature,mattr_50,MATTR-50,-0.0027801187135006,-0.0035544254398155,-0.0020058119871857,-0.1682251450495687,-0.2150784900936612,-0.1213718000054762,0.1417227389871611,0.1020204392981874,0.1814250386761348,-0.02384132832293734,harmful has feature difference in panel-disfavored direction
Grant abstract,Generic text feature,rare_word_rate_per_1k,Rare-word rate per 1k words,-2.0183122277617827,-2.9741705786680903,-1.0624538768554748,-0.1054786214521904,-0.1554325481887734,-0.0555246947156075,0.1500805984277814,0.1097515280830299,0.1904096687725329,-0.015830294628882156,harmful has feature difference in panel-disfavored direction
Grant abstract,Generic text feature,quantitative_detail_rate,Quantitative detail rate,-0.4233977750530108,-0.8188194764268136,-0.0279760736792079,-0.0542430483901739,-0.1049019789418488,-0.0035841178384991,0.1995037172436066,0.1611694486602587,0.2378379858269545,-0.010821689788464525,harmful has feature difference in panel-disfavored direction
Incident postmortem,Generic text feature,words,Words,-24.616255144032923,-28.314431046606305,-20.91807924145954,-0.2899006435424895,-0.3334533109899275,-0.2463479760950515,0.3097168945826352,0.2708467044516977,0.3485870847135727,-0.08978712705548732,harmful has feature difference in panel-disfavored direction
Translation,Generic text feature,mattr_50,MATTR-50,-0.0016297595977558,-0.0032449483285139,-1.4570866997661372e-05,-0.0451967830084609,-0.0899894841419968,-0.0004040818749251,0.0656234969970177,0.023710543105726,0.1075364508883095,-0.0029659709540305946,harmful has feature difference in panel-disfavored direction
Essay writing,Generic text feature,paragraphs,Paragraphs,0.3428810144317823,0.2941330670261244,0.3916289618374402,0.3174882784039949,0.2723504572761645,0.3626260995318253,0.0826429161688314,0.0400589112626844,0.1252269210749785,0.026238157176727957,harmful has feature difference in panel-favored direction
Essay writing,Generic text feature,textstat_flesch_kincaid_grade,Flesch-Kincaid grade,0.3226023214350489,0.2604238522424114,0.3847807906276865,0.2582706160987498,0.2084914592872795,0.3080497729102201,0.0825167410263576,0.0449710280208301,0.1200624540318852,0.021311649543338362,harmful has feature difference in panel-favored direction
Essay writing,Generic text feature,mattr_50,MATTR-50,0.0014470232335834,0.0003817388901856,0.0025123075769811,0.0677312631621664,0.0178681700682658,0.1175943562560669,0.1686554161797585,0.1312098816713428,0.2061009506881742,0.01142324437699592,harmful has feature difference in panel-favored direction
Grant abstract,Generic text feature,textstat_flesch_kincaid_grade,Flesch-Kincaid grade,0.3040078810815548,0.233782545162088,0.3742332170010216,0.2120444081981098,0.1630624879183455,0.2610263284778742,0.0936284439544459,0.0540015329646589,0.1332553549442328,0.019853387988830372,harmful has feature difference in panel-favored direction
Incident postmortem,LLM rubric marker,operational_realism,Operational realism,0.2001534067985757,0.0314723588540737,0.3688344547430777,0.2113299960744944,0.0332297789953671,0.3894302131536218,0.4380040418871475,0.2590445704021494,0.6169635133721456,0.09256339245262356,harmful has feature difference in panel-favored direction
Incident postmortem,Generic text feature,quantitative_detail_rate,Quantitative detail rate,1.3653447034486992,0.5173882693010865,2.2133011375963116,0.0720535686629582,0.0273042192886023,0.1168029180373142,0.2715929588246358,0.2321672136053147,0.311018704043957,0.019569241907046876,harmful has feature difference in panel-favored direction
