sample_index,coding_pair_uid,comparison_name,source_mode,actor,task,task_label,item_label,item_index,repeat,source_pair_uid,left_condition,right_condition,left_raw_condition,right_raw_condition,left_output_id,right_output_id,left_run_dir,right_run_dir,a_side,b_side,output_a_id,output_b_id,panel_winner_condition,effect_score_left_minus_right
0,utility_high_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r5:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,utility_high_vs_framed_empty,arm_match,gpt-5.4-mini-or,incident_postmortem,Incident postmortem,A batch import duplicated volunteer shift assignments for a disaster-response nonprofit.,29,5,,utility_high,framed_empty,hl_high,framed_empty,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__gpt-5.4-mini-or__2026-06-15_03-41-24Z__hash-0aeb5997612e,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_framed_empty__gpt-5.4-mini-or__2026-06-17_01-50-15Z__hash-02be1849bb1a,left,right,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i9:r5::a,,
1,utility_high_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,essay,Essay writing,Public museums should be free to all visitors,19,9,,utility_high,framed_empty,hl_high,framed_empty,modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__modgrid_essay_amount+modgrid_essay_highlow+modgrid_essay_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-aaf52a4356d2,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__modgrid_essay_framed_empty__glm-5.1-or__2026-06-17_01-53-07Z__hash-69a14c9ea19b,right,left,modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,,
2,utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,incident_postmortem,Incident postmortem,"A metrics exporter crashed after a library upgrade, leaving dashboards flat during an incident.",11,1,,utility_high,framed_empty,hl_high,framed_empty,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a,modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-7b746e78f4f1,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_framed_empty__qwen3.6-plus-or__2026-06-17_01-52-19Z__hash-028477f54b28,left,right,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a,modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,,
3,utility_high_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ienergy-bill-assistance-navigation-for-low-income-households:r1:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,grant_proposal_abstract,Grant abstract,energy-bill assistance navigation for low-income households,22,1,,utility_high,framed_empty,hl_high,framed_empty,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-3fa785d4fc57,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_framed_empty__qwen3.6-plus-or__2026-06-17_01-52-19Z__hash-e7b0a8871296,left,right,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i29:r1::a,,
4,utility_high_vs_framed_empty:glm-5.1-or:grant_proposal_abstract:isoil-health-monitoring-for-smallholder-cooperatives:r2:modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i17:r2::a:modgrid_grant_framed_empty:glm-5.1-or:grant_proposal_abstract:i17:r2::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,grant_proposal_abstract,Grant abstract,soil-health monitoring for smallholder cooperatives,9,2,,utility_high,framed_empty,hl_high,framed_empty,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i17:r2::a,modgrid_grant_framed_empty:glm-5.1-or:grant_proposal_abstract:i17:r2::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__glm-5.1-or__2026-06-13_04-05-21Z__hash-7e2183bc39fb,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_framed_empty__glm-5.1-or__2026-06-17_01-53-07Z__hash-6d2b40354f99,right,left,modgrid_grant_framed_empty:glm-5.1-or:grant_proposal_abstract:i17:r2::a,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i17:r2::a,,
5,utility_high_vs_framed_empty:qwen3.6-plus-or:translation:i300-4:r9:modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a:modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,translation,Translation,另外惠工路和万达广场两条步行街的园林绿化、景观地铺进行了提档升级，种植乔木约300株，改造地铺4万平方米，提升了南坪商圈形象；,15,9,,utility_high,framed_empty,hl_high,framed_empty,modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a,modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_amount+modgrid_translation_highlow+modgrid_translation_moral__qwen3.6-plus-or__2026-06-15_02-42-28Z__hash-3a4e45ea5efd,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_framed_empty__qwen3.6-plus-or__2026-06-17_01-52-19Z__hash-9b19b7fb2ae7,right,left,modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r9::a,modgrid_translation_highlow:qwen3.6-plus-or:translation:i22:r9::a,,
6,utility_high_vs_framed_empty:qwen3.5-9b-or:incident_postmortem:iA-database-migration-locked-a-table-used-by-checkout-increasing-payment-failures-for-27-minutes.:r4:modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i2:r4::a:modgrid_incident_framed_empty:qwen3.5-9b-or:incident_postmortem:i2:r4::a,utility_high_vs_framed_empty,arm_match,qwen3.5-9b-or,incident_postmortem,Incident postmortem,"A database migration locked a table used by checkout, increasing payment failures for 27 minutes.",12,4,,utility_high,framed_empty,hl_high,framed_empty,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i2:r4::a,modgrid_incident_framed_empty:qwen3.5-9b-or:incident_postmortem:i2:r4::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__qwen3.5-9b-or__2026-06-13_04-06-00Z__hash-ddba9133645f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_framed_empty__qwen3.5-9b-or__2026-06-17_01-52-15Z__hash-ec2acb931791,right,left,modgrid_incident_framed_empty:qwen3.5-9b-or:incident_postmortem:i2:r4::a,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i2:r4::a,,
7,utility_high_vs_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:iadaptive-tutoring-for-community-college-algebra:r4:modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a:modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,utility_high_vs_framed_empty,arm_match,deepseek-v3.2-or,grant_proposal_abstract,Grant abstract,adaptive tutoring for community college algebra,24,4,,utility_high,framed_empty,hl_high,framed_empty,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__deepseek-v3.2-or__2026-06-13_04-04-49Z__hash-d4e6f64fd77f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_framed_empty__deepseek-v3.2-or__2026-06-17_01-46-49Z__hash-52e5628ee4c3,left,right,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,,
8,utility_high_vs_framed_empty:glm-5.1-or:incident_postmortem:iA-database-migration-locked-a-table-used-by-checkout-increasing-payment-failures-for-27-minutes.:r4:modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i2:r4::a:modgrid_incident_framed_empty:glm-5.1-or:incident_postmortem:i2:r4::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,incident_postmortem,Incident postmortem,"A database migration locked a table used by checkout, increasing payment failures for 27 minutes.",12,4,,utility_high,framed_empty,hl_high,framed_empty,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i2:r4::a,modgrid_incident_framed_empty:glm-5.1-or:incident_postmortem:i2:r4::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__glm-5.1-or__2026-06-13_04-05-21Z__hash-9ab484b06507,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_framed_empty__glm-5.1-or__2026-06-17_01-53-07Z__hash-e25d316bf3a2,left,right,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i2:r4::a,modgrid_incident_framed_empty:glm-5.1-or:incident_postmortem:i2:r4::a,,
9,utility_high_vs_framed_empty:mimo-v25-pro-or:translation:i2-Convercent-Sapphire-Ventures-Tola-Capital-1000-4700:r4:modgrid_translation_highlow:mimo-v25-pro-or:translation:i9:r4::a:modgrid_translation_framed_empty:mimo-v25-pro-or:translation:i9:r4::a,utility_high_vs_framed_empty,arm_match,mimo-v25-pro-or,translation,Translation,2 月份，Convercent 从 Sapphire Ventures 和 Tola Capital 等公司筹集了 1000 万美元的资金，其总资本上升至 4700 万美元。,29,4,,utility_high,framed_empty,hl_high,framed_empty,modgrid_translation_highlow:mimo-v25-pro-or:translation:i9:r4::a,modgrid_translation_framed_empty:mimo-v25-pro-or:translation:i9:r4::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_headroom+modgrid_translation_highlow+modgrid_translation_moral__mimo-v25-pro-or__2026-06-13_04-05-46Z__hash-970cf2a4fad7,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_framed_empty__mimo-v25-pro-or__2026-06-17_01-52-10Z__hash-b7bab6a55c65,left,right,modgrid_translation_highlow:mimo-v25-pro-or:translation:i9:r4::a,modgrid_translation_framed_empty:mimo-v25-pro-or:translation:i9:r4::a,,
