task,task_label,family,feature_id,feature_label,n_gap,gap_effect,gap_ci_low,gap_ci_high,gap_p,gap_pair_delta_sd,gap_effect_sd,gap_ci_low_sd,gap_ci_high_sd,gap_ci_excludes_zero,n_panel,panel_coef_per_sd,panel_ci_low,panel_ci_high,panel_p,panel_ci_excludes_zero,signs_align,selected,controls_words_for_gap,controls_words_for_panel,definition
essay,Essay writing,Generic text feature,paragraphs,Paragraphs,1979,0.3428810144317823,0.2941330670261244,0.3916289618374402,3.087820619530767e-43,1.0799800740847378,0.3174882784039949,0.2723504572761645,0.36262609953182534,True,1979,0.08264291616883149,0.04005891126268445,0.12522692107497851,0.00014250570294724684,True,True,True,True,True,Paragraph count split on blank lines.
essay,Essay writing,Generic text feature,textstat_flesch_kincaid_grade,Flesch-Kincaid grade,1979,0.32260232143504897,0.2604238522424114,0.38478079062768655,2.7234752748216076e-24,1.2490864284448908,0.25827061609874985,0.20849145928727955,0.3080497729102201,True,1979,0.08251674102635768,0.04497102802083012,0.12006245403188526,1.6501762904845502e-05,True,True,True,True,True,Flesch-Kincaid grade level.
essay,Essay writing,Generic text feature,mattr_50,MATTR-50,1979,0.001447023233583402,0.000381738890185689,0.002512307576981115,0.007759589819553185,0.021364184957230886,0.0677312631621664,0.017868170068265875,0.11759435625606693,True,1979,0.16865541617975852,0.13120988167134284,0.2061009506881742,1.066801901137207e-18,True,True,True,True,True,Moving-average type-token ratio computed in 50-word windows.
essay,Essay writing,Generic text feature,positive_words_per_1k,Positive-word rate per 1k words,1979,1.2226160465898106,0.4670607967505064,1.9781712964291147,0.0015159584532883446,15.279401221647536,0.08001727481687135,0.03056800394041518,0.1294665456933275,True,1979,-0.05508256883577376,-0.09197638160339541,-0.018188756068152102,0.003430358044494021,True,False,False,True,True,"VADER positive-lexicon tokens per 1,000 words."
essay,Essay writing,Generic text feature,quantitative_detail_rate,Quantitative detail rate,1979,0.12669557059256437,-0.13516414560048073,0.38855528678560947,0.34297335065783624,5.443079126051287,0.023276452107077194,-0.024832294822532984,0.07138519903668737,False,1979,0.11408096194434239,0.07528623188141478,0.15287569200727,8.232107830535187e-09,True,True,False,True,True,"Numeric tokens plus percentage expressions per 1,000 words."
essay,Essay writing,Generic text feature,rare_word_rate_per_1k,Rare-word rate per 1k words,1979,-0.3581713617105362,-1.2828409358554298,0.5664982124343575,0.4477285740147082,19.06234249034992,-0.01878947258931352,-0.06729712974703149,0.029718184568404454,False,1979,0.09084325066142365,0.05421129135014133,0.12747520997270598,1.1703906468927617e-06,True,False,False,True,True,"Eligible alphabetic tokens with wordfreq English Zipf frequency below 3.5, per 1,000 eligible tokens."
essay,Essay writing,Generic text feature,negative_words_per_1k,Negative-word rate per 1k words,1979,-1.2507700681773488,-1.837336662439238,-0.6642034739154596,2.922509227871006e-05,11.647536245375658,-0.10738494749685226,-0.15774466150888375,-0.057025233484820775,True,1979,0.010280905075943338,-0.027925649434871688,0.04848745958675836,0.5979079005688517,False,False,False,True,True,"VADER negative-lexicon tokens per 1,000 words."
essay,Essay writing,Generic text feature,words,Words,1979,-14.995957554320341,-16.38073477249492,-13.611180336145761,5.597095075595902e-100,36.77868090195716,-0.40773505701022406,-0.4453866851875927,-0.37008342883285544,True,1979,0.23298466951774216,0.18684952822189638,0.27911981081358794,4.24285002500919e-23,True,False,False,False,False,Word count.
essay,Essay writing,LLM rubric marker,plausibility_overreach,Avoids plausibility overreach,120,0.014578941666063763,-0.012099430632889116,0.04125731396501664,0.28413253890243395,0.1585561604681726,0.09194812502406825,-0.07631006324297229,0.26020631329110877,False,120,0.022260629582859418,-0.29224638716668794,0.33676764633240674,0.8896653310369609,False,True,False,True,True,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?"
essay,Essay writing,LLM rubric marker,concrete_example_quality,Concrete example quality,120,-0.08350201736708276,-0.28644023861363926,0.11943620387947373,0.4199708575733958,0.9654754565201831,-0.08648797522833473,-0.29668308674157506,0.1237071362849056,False,120,0.28247817098678446,0.10759049922082337,0.45736584275274555,0.0015466370597548545,True,False,False,True,True,"Which essay uses the required concrete example more specifically, plausibly, and usefully?"
essay,Essay writing,LLM rubric marker,counterargument_qualification,Counterargument/qualification,120,-0.09439698038637302,-0.25822035553299705,0.06942639476025099,0.25873952706255554,0.7842997197629029,-0.12035829926715978,-0.3292368325862186,0.08852023405189903,False,120,0.12176721296107776,-0.0414678195548252,0.2850022454769807,0.14371750761433422,False,False,False,True,True,Which essay better anticipates objections or tradeoffs and responds to them?
essay,Essay writing,LLM rubric marker,rhetorical_coherence_closure,Rhetorical coherence and closure,120,-0.14341403767750874,-0.324403238785306,0.03757516343028855,0.12040296055184399,0.8714262754251798,-0.1645739194718856,-0.37226699255427614,0.04311915361050498,False,120,0.24077006227244013,0.06625246748347446,0.4152876570614058,0.006849405142016136,True,False,False,True,True,"Which essay has better paragraph flow, transitions, and final synthesis?"
essay,Essay writing,LLM rubric marker,argument_depth,Argument depth,120,-0.16031903962148877,-0.35082460671836624,0.03018652747538869,0.09905987367997136,0.9347028767405802,-0.17151871852640518,-0.3753327559467167,0.03229531889390636,False,120,0.3434668272134217,0.17177953365491103,0.5151541207719323,8.81628593436897e-05,True,False,False,True,True,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?"
essay,Essay writing,LLM rubric marker,thesis_stakes_framing,Thesis and stakes framing,120,-0.2411706547066614,-0.43887176412864404,-0.04346954528467878,0.01680460613444737,0.8881416093209922,-0.2715452718075474,-0.4941461581381973,-0.04894438547689754,True,120,0.11218965185697735,-0.05384828999764599,0.27822759371160066,0.18538809288989633,False,False,False,True,True,Which essay presents the central claim and its stakes more clearly and compellingly?
grant_proposal_abstract,Grant abstract,Generic text feature,textstat_flesch_kincaid_grade,Flesch-Kincaid grade,1831,0.30400788108155485,0.23378254516208807,0.37423321700102163,2.1589125873602473e-17,1.433699118335273,0.21204440819810988,0.16306248791834552,0.2610263284778742,True,1831,0.09362844395444592,0.054001532964658976,0.13325535494423285,3.6392492806287478e-06,True,True,True,True,True,Flesch-Kincaid grade level.
grant_proposal_abstract,Grant abstract,Generic text feature,negative_words_per_1k,Negative-word rate per 1k words,1831,0.7579294641898201,0.38974129374361066,1.1261176346360295,5.4663923543332394e-05,7.648802182272627,0.09909126241314592,0.05095455268105913,0.14722797214523273,True,1831,0.025506886153500618,-0.014799551954163121,0.06581332426116436,0.21485141145832953,False,True,False,True,True,"VADER negative-lexicon tokens per 1,000 words."
grant_proposal_abstract,Grant abstract,Generic text feature,paragraphs,Paragraphs,1831,0.6944366631657253,0.5905638921509757,0.7983094341804748,3.144567778661431e-39,2.2881134842810624,0.3034974742015128,0.25810078748630516,0.34889416091672043,True,1831,0.03135913379680666,-0.008196017101140096,0.07091428469475342,0.12021337877443629,False,True,False,True,True,Paragraph count split on blank lines.
grant_proposal_abstract,Grant abstract,Generic text feature,positive_words_per_1k,Positive-word rate per 1k words,1831,0.011458254556170333,-0.4967749672684332,0.5196914763807738,0.9647539680813009,10.54124768296162,0.0010869922518461376,-0.04712677115740265,0.049300755661094924,False,1831,-0.09628133960494628,-0.13529390231191493,-0.05726877689797764,1.3168333718003596e-06,True,False,False,True,True,"VADER positive-lexicon tokens per 1,000 words."
grant_proposal_abstract,Grant abstract,Generic text feature,mattr_50,MATTR-50,1831,-0.002780118713500663,-0.003554425439815589,-0.002005811987185737,1.9599338754456495e-12,0.016526178132772486,-0.16822514504956876,-0.21507849009366128,-0.12137180000547623,True,1831,0.14172273898716115,0.10202043929818744,0.18142503867613485,2.624627186242778e-12,True,False,False,True,True,Moving-average type-token ratio computed in 50-word windows.
grant_proposal_abstract,Grant abstract,Generic text feature,quantitative_detail_rate,Quantitative detail rate,1831,-0.4233977750530108,-0.8188194764268136,-0.027976073679207958,0.03584600610676727,7.805567489634457,-0.05424304839017399,-0.10490197894184883,-0.003584117838499159,True,1831,0.19950371724360663,0.16116944866025873,0.23783798582695453,1.9732966788714136e-24,True,False,False,True,True,"Numeric tokens plus percentage expressions per 1,000 words."
grant_proposal_abstract,Grant abstract,Generic text feature,rare_word_rate_per_1k,Rare-word rate per 1k words,1831,-2.0183122277617827,-2.9741705786680903,-1.0624538768554748,3.4946885034300316e-05,19.134799070886682,-0.10547862145219049,-0.1554325481887734,-0.055524694715607587,True,1831,0.1500805984277814,0.1097515280830299,0.1904096687725329,3.010110223093864e-13,True,False,False,True,True,"Eligible alphabetic tokens with wordfreq English Zipf frequency below 3.5, per 1,000 eligible tokens."
