task,task_label,dimension,description,n_pairs,n_actors,mean_left_minus_right_equal_actor,ci_low,ci_high,ci_excludes_zero,raw_pair_mean,raw_pair_sd,pct_left_better,pct_right_better,pct_tie_or_not_applicable
essay,Essay writing,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",120,7,-0.11671335200746966,-0.2605042016806723,0.04201680672268907,False,-0.11666666666666667,0.9888736766945432,0.43333333333333335,0.55,0.016666666666666666
essay,Essay writing,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",120,7,-0.07469654528478056,-0.17556022408963587,0.05975723622782446,False,-0.075,0.9628607585399535,0.425,0.5,0.075
essay,Essay writing,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,120,7,-0.14939309056956115,-0.25676937441643327,-0.04855275443510737,True,-0.15,0.7520280702788925,0.21666666666666667,0.36666666666666664,0.4166666666666667
essay,Essay writing,plausibility_overreach,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",120,7,0.0,-0.025210084033613443,0.025210084033613443,False,0.0,0.18333969940564226,0.016666666666666666,0.016666666666666666,0.9666666666666667
essay,Essay writing,rhetorical_coherence_closure,"Which essay has better paragraph flow, transitions, and final synthesis?",120,7,-0.07563025210084033,-0.21008403361344538,0.03361344537815126,False,-0.075,0.9181869237201956,0.38333333333333336,0.4583333333333333,0.15833333333333333
essay,Essay writing,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,120,7,-0.14145658263305322,-0.257703081232493,-0.03361344537815126,True,-0.14166666666666666,0.9285013979194515,0.36666666666666664,0.5083333333333333,0.125
grant_proposal_abstract,Grant abstract,evaluation_rigor,"Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",120,7,0.03267973856209149,-0.15219421101774047,0.24183006535947713,False,0.03333333333333333,1.0036348505135053,0.5166666666666667,0.48333333333333334,0.0
grant_proposal_abstract,Grant abstract,feasibility_implementation_readiness,"Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",120,7,0.09103641456582633,-0.03361344537815126,0.22408963585434177,False,0.09166666666666666,0.9437617678788455,0.49166666666666664,0.4,0.10833333333333334
grant_proposal_abstract,Grant abstract,intervention_specificity,"Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",120,7,-0.017740429505135397,-0.19327731092436976,0.15051353874883014,False,-0.016666666666666666,1.004053409585227,0.49166666666666664,0.5083333333333333,0.0
grant_proposal_abstract,Grant abstract,measurable_impact,"Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",120,7,0.049486461251167124,-0.14285714285714285,0.22595704948646125,False,0.05,0.9513369628090368,0.475,0.425,0.1
grant_proposal_abstract,Grant abstract,problem_significance,"Which abstract more clearly states the need, affected population, and consequence of the problem?",120,7,0.007469654528478055,-0.10084033613445378,0.13258636788048553,False,0.008333333333333333,0.864771144091118,0.375,0.36666666666666664,0.25833333333333336
grant_proposal_abstract,Grant abstract,risk_mitigation,Which abstract identifies more realistic risks and more credible mitigation plans?,120,7,0.0074696545284780634,-0.13445378151260504,0.1419234360410831,False,0.008333333333333333,0.9915257179214869,0.49166666666666664,0.48333333333333334,0.025
grant_proposal_abstract,Grant abstract,stakeholder_context_fit,Which abstract better fits the affected community or deployment setting?,120,7,0.02334267040149391,-0.20354808590102705,0.24369747899159663,False,0.025,0.8741141974891501,0.39166666666666666,0.36666666666666664,0.24166666666666667
incident_postmortem,Incident postmortem,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",120,7,-0.0009337068160597539,-0.1680672268907563,0.1419234360410831,False,0.0,0.9957894549830613,0.49166666666666664,0.49166666666666664,0.016666666666666666
