actor,actor_label,task,task_label,run_id,run_dir,n_pairs,complete_pairs,left_wins,right_wins,ties,unresolved,n_excluding_ties,left_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive,familywise_ci_method
deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,150,150,39,9,102,0,48,0.8125,0.5894513831116674,0.9465396033181105,True,1.5221826110689564e-05,0.00036532382665654955,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-20-08Z__hash-3e0d51f38b3d,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-20-08Z__hash-3e0d51f38b3d,150,150,55,29,66,0,84,0.6547619047619048,0.47931326068024294,0.8047958329687888,False,0.0060379576322632045,0.10264527974847448,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,incident_postmortem__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-56-18Z__hash-c9d23ed8cc38,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-56-18Z__hash-c9d23ed8cc38,150,150,34,44,72,0,78,0.4358974358974359,0.2661166356917962,0.6169820112345523,False,0.3081682319436807,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,translation__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-50-56Z__hash-132b1b231da4,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__deepseek-v3.2-or__2026-06-20_18-50-56Z__hash-132b1b231da4,150,150,38,37,75,0,75,0.5066666666666667,0.32591128884312387,0.6862008049971313,False,1.0,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
glm-5.1-or,GLM-5.1,essay,Essay writing,essay__user_prompt_role__glm-5.1-or__2026-06-20_17-24-31Z__hash-5cc91aa949cf,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__glm-5.1-or__2026-06-20_17-24-31Z__hash-5cc91aa949cf,150,150,65,7,78,0,72,0.9027777777777778,0.7486309730911737,0.9786199538047121,True,6.9644370929921e-13,1.880398015107867e-11,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__user_prompt_role__glm-5.1-or__2026-06-20_18-36-12Z__hash-baf827bcd334,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__glm-5.1-or__2026-06-20_18-36-12Z__hash-baf827bcd334,150,142,52,29,61,8,81,0.6419753086419753,0.46297108051809616,0.796824472210019,False,0.013999473719986937,0.20999210579980404,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,incident_postmortem__user_prompt_role__glm-5.1-or__2026-06-20_19-28-25Z__hash-170ef22f4ac4,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__glm-5.1-or__2026-06-20_19-28-25Z__hash-170ef22f4ac4,150,150,53,20,77,0,73,0.726027397260274,0.5404864119929154,0.8688804114815372,True,0.00014163707253552724,0.003116015595781599,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
glm-5.1-or,GLM-5.1,translation,Translation,translation__user_prompt_role__glm-5.1-or__2026-06-20_18-51-14Z__hash-35f101e776da,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__glm-5.1-or__2026-06-20_18-51-14Z__hash-35f101e776da,150,150,31,27,92,0,58,0.5344827586206896,0.3272733203390284,0.7335803908814575,False,0.6940040940761318,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,essay__user_prompt_role__gpt-5.4-mini-or__2026-06-20_16-58-28Z__hash-958a1d578531,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__gpt-5.4-mini-or__2026-06-20_16-58-28Z__hash-958a1d578531,150,150,116,0,34,0,116,1.0,0.9412687442099464,1.0,True,2.407412430484045e-35,6.7407548053553255e-34,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,grant_proposal_abstract__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-19-27Z__hash-829cd922dad6,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-19-27Z__hash-829cd922dad6,150,150,46,19,85,0,65,0.7076923076923077,0.5089284576790014,0.8625616282272281,True,0.0010900838044475786,0.020711592284503994,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,incident_postmortem__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-55-34Z__hash-f4f0b03c17c8,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-55-34Z__hash-f4f0b03c17c8,150,150,32,28,90,0,60,0.5333333333333333,0.3295817169129026,0.7294967065360876,False,0.6988834276200058,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,translation__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-51-05Z__hash-15cfeeb1a17d,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__user_prompt_role__gpt-5.4-mini-or__2026-06-20_18-51-05Z__hash-15cfeeb1a17d,150,150,29,22,99,0,51,0.5686274509803921,0.3451062960074132,0.7738690931000087,False,0.4010619910279374,1.0,False,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
kimi-k2.5-or,Kimi K2.5,essay,Essay writing,essay__user_prompt_role__kimi-k2.5-or__2026-06-20_17-24-37Z__hash-9362ea34bf5a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__kimi-k2.5-or__2026-06-20_17-24-37Z__hash-9362ea34bf5a,150,150,43,11,96,0,54,0.7962962962962963,0.5853184230610502,0.9319925412752068,True,1.401305745618586e-05,0.0003503264364046465,True,Bonferroni exact binomial 95% familywise CI across 28 plotted/planned cells
