coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,role_strong,role_weak,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"Output A quantifies the impact more precisely, stating 'approximately 2 hours' for reconciliation and '1 business day' for delay, whereas B uses vaguer terms like 'additional time' and 'several hours'."
framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,role_strong,role_weak,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"Output A provides more specific timestamps (e.g., '02:00 local time', '08:30 local time') compared to B's more general timeframes (e.g., 'early morning', 'mid-morning')."
framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,role_strong,role_weak,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,"Output A more clearly articulates the disagreement between the cron scheduler and the job's internal logic regarding the payroll preview period, and explicitly states 'a time-based scheduling edge case exposed a missing idempotency guarantee'."
framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,role_strong,role_weak,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"Output A provides a more detailed breakdown of contributing factors, including 'Insufficient uniqueness constraints' and 'Monitoring focused on job success, not output integrity', which are distinct from the root cause."
framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,role_strong,role_weak,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,A,left,1.0,"Output A explicitly mentions 'Monitoring focused on job success, not output integrity' and 'There was no alert on output anomalies, only on job completion' and 'The incident was discovered manually rather than automatically', directly addressing detection and observability gaps."
framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,role_strong,role_weak,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",B,right,-1.0,"Output B's action items are more concrete by including owners and due dates, which A lacks."
framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,role_strong,role_weak,blameless_systems_framing,Which postmortem avoids individual blame while still giving a candid causal account?,tie,tie,0.0,Both outputs maintain a blameless tone and focus on system and process failures rather than individual blame.
framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,role_strong,role_weak,operational_realism,Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,tie,tie,0.0,"Both outputs read like realistic engineering postmortems, covering the expected sections and level of detail."
framed_user_prompt_role:framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2,framed_user_prompt_role,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,role_strong,role_weak,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,tie,tie,0.0,"Both essays present a clear thesis and similar stakes. Output A's opening is slightly more direct, but B's framing of the blurring professional/personal life is also effective."
framed_user_prompt_role:framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2,framed_user_prompt_role,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,role_strong,role_weak,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",B,left,1.0,"Output B introduces Parkinson's Law to explain the productivity increase, providing a deeper theoretical underpinning than Output A's more general statement about efficiency."
framed_user_prompt_role:framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2,framed_user_prompt_role,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,role_strong,role_weak,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",B,left,1.0,"Both essays use the Microsoft Japan example effectively. However, Output B adds an additional detail about the 23% decrease in electricity consumption, making its use of the example more specific and useful for supporting multiple points (productivity and environmental benefits)."
