breakout,resolved_n,target_wins,target_losses,ties,pooled_win_rate,equal_cell_mean,equal_cell_ci_lo,equal_cell_ci_hi,bootstrap_cells,task,domain,task_label
overall,3914,2061,1853,286,0.5265712825753704,0.5275300545689915,0.49426008223875734,0.5602745674534662,112,,,
task,909,476,433,141,0.5236523652365237,0.5234887738592252,0.4402057079810427,0.6065045846095073,28,essay,,Essay writing
task,1048,518,530,2,0.49427480916030536,0.4944893201472148,0.4345914405947301,0.5531161095305832,28,grant_proposal_abstract,,Grant abstract
task,1046,567,479,4,0.5420650095602294,0.5430298719772405,0.4721755119781435,0.6141569788773735,28,incident_postmortem,,Incident postmortem
task,911,500,411,139,0.5488474204171241,0.5491122522922854,0.5015378831908242,0.5946359684430489,28,translation,,Translation
domain,985,506,479,79,0.5137055837563452,0.51637446879333,0.4564698133596286,0.5787272220873629,28,,animals,
domain,989,512,477,75,0.5176946410515673,0.5174666723894684,0.44527146812628765,0.5888258855474003,28,,countries,
domain,978,516,462,58,0.5276073619631901,0.5287695989088789,0.4630131156670274,0.5927347018603566,28,,political,
domain,962,527,435,74,0.5478170478170478,0.5475094781842885,0.4788928318090291,0.6143193537388271,28,,religions,
task_domain,224,110,114,42,0.49107142857142855,0.4993178509816979,0.3579420619054074,0.6597859192573952,7,essay,animals,Essay writing
task_domain,229,126,103,37,0.5502183406113537,0.5408499606739248,0.3576861455789212,0.7323705473568737,7,essay,countries,Essay writing
task_domain,232,124,108,27,0.5344827586206896,0.5406751718788435,0.3835149864543519,0.6910022157310689,7,essay,political,Essay writing
task_domain,224,116,108,35,0.5178571428571429,0.5131121119024344,0.3427954102349264,0.6800649535276551,7,essay,religions,Essay writing
task_domain,264,124,140,2,0.4696969696969697,0.47013366750208857,0.3609022556390978,0.5827067669172933,7,grant_proposal_abstract,animals,Grant abstract
task_domain,266,132,134,0,0.49624060150375937,0.49624060150375937,0.3759398496240602,0.6165413533834586,7,grant_proposal_abstract,countries,Grant abstract
task_domain,259,126,133,0,0.4864864864864865,0.48648648648648646,0.37451737451737455,0.5984555984555985,7,grant_proposal_abstract,political,Grant abstract
task_domain,259,136,123,0,0.525096525096525,0.5250965250965252,0.3976833976833977,0.6486486486486486,7,grant_proposal_abstract,religions,Grant abstract
task_domain,266,145,121,0,0.5451127819548872,0.5451127819548872,0.4323308270676692,0.6766917293233083,7,incident_postmortem,animals,Incident postmortem
task_domain,265,133,132,1,0.5018867924528302,0.5034545824019508,0.36842105263157887,0.6681594188173136,7,incident_postmortem,countries,Incident postmortem
task_domain,259,143,116,0,0.5521235521235521,0.5521235521235521,0.413030888030888,0.6911196911196911,7,incident_postmortem,political,Incident postmortem
task_domain,256,146,110,3,0.5703125,0.5714285714285714,0.4476592664092664,0.7296332046332045,7,incident_postmortem,religions,Incident postmortem
task_domain,231,127,104,35,0.5497835497835498,0.5509335747346469,0.4697918376926726,0.6378264513517428,7,translation,animals,Translation
task_domain,229,121,108,37,0.5283842794759825,0.5293215449782387,0.4415531935736677,0.6182988707693954,7,translation,countries,Translation
task_domain,228,123,105,31,0.5394736842105263,0.5357931851466334,0.431779948661876,0.6322219633426528,7,translation,political,Translation
task_domain,223,129,94,36,0.57847533632287,0.5804007043096229,0.49376540677299696,0.6705292579106619,7,translation,religions,Translation
