sample_index,coding_pair_uid,comparison_name,source_mode,actor,task,task_label,item_label,item_index,repeat,source_pair_uid,left_condition,right_condition,left_raw_condition,right_raw_condition,left_output_id,right_output_id,left_run_dir,right_run_dir,a_side,b_side,output_a_id,output_b_id,panel_winner_condition,effect_score_left_minus_right
0,utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,incident_postmortem,Incident postmortem,A rate limiter treated shared school IP addresses as abusive traffic and blocked student logins.,5,1,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility_high,utility_low,hl_high,hl_low,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1::a,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__gpt-5.4-mini-or__2026-06-13_04-05-05Z__hash-aa065ed0a14e,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__gpt-5.4-mini-or__2026-06-13_04-05-05Z__hash-aa065ed0a14e,left,right,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1::a,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1::b,utility_high,1.0
1,utility:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6,utility,pair_deltas,glm-5.1-or,essay,Essay writing,Public museums should be free to all visitors,19,6,modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6,utility_high,utility_low,hl_high,hl_low,modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6::a,modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__modgrid_essay_amount+modgrid_essay_highlow+modgrid_essay_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-aaf52a4356d2,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__modgrid_essay_amount+modgrid_essay_highlow+modgrid_essay_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-aaf52a4356d2,right,left,modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6::b,modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6::a,utility_low,-1.0
2,utility:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5,utility,pair_deltas,qwen3.6-plus-or,incident_postmortem,Incident postmortem,"A background job retried failed invoice emails too aggressively and sent duplicates to 31,000 customers.",1,5,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5,utility_high,utility_low,hl_high,hl_low,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5::a,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__qwen3.6-plus-or__2026-06-15_02-42-28Z__hash-022efeaa5084,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__qwen3.6-plus-or__2026-06-15_02-42-28Z__hash-022efeaa5084,left,right,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5::a,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5::b,tie,0.0
3,utility:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i28:r2,utility,pair_deltas,qwen3.6-plus-or,grant_proposal_abstract,Grant abstract,language-preservation archives for indigenous communities,21,2,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i28:r2,utility_high,utility_low,hl_high,hl_low,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i28:r2::a,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i28:r2::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-3fa785d4fc57,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-3fa785d4fc57,left,right,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i28:r2::a,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i28:r2::b,tie,0.0
4,utility:modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i10:r8,utility,pair_deltas,glm-5.1-or,grant_proposal_abstract,Grant abstract,community air-quality sensing for asthma management,2,8,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i10:r8,utility_high,utility_low,hl_high,hl_low,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i10:r8::a,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i10:r8::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount+modgrid_grant_highlow+modgrid_grant_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-64628b789970,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount+modgrid_grant_highlow+modgrid_grant_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-64628b789970,right,left,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i10:r8::b,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i10:r8::a,utility_low,-1.0
5,utility:modgrid_translation_highlow:qwen3.6-plus-or:translation:i17:r4,utility,pair_deltas,qwen3.6-plus-or,translation,Translation,澳洲统计局(ABS)数据显示，今年第二季度，全澳房屋价值平均上涨1.5%至2%，年增3.5%，创自2013年3月以来最低年增率。,9,4,modgrid_translation_highlow:qwen3.6-plus-or:translation:i17:r4,utility_high,utility_low,hl_high,hl_low,modgrid_translation_highlow:qwen3.6-plus-or:translation:i17:r4::a,modgrid_translation_highlow:qwen3.6-plus-or:translation:i17:r4::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_headroom+modgrid_translation_highlow+modgrid_translation_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-920b20c6061e,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_headroom+modgrid_translation_highlow+modgrid_translation_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-920b20c6061e,right,left,modgrid_translation_highlow:qwen3.6-plus-or:translation:i17:r4::b,modgrid_translation_highlow:qwen3.6-plus-or:translation:i17:r4::a,utility_low,-1.0
6,utility:modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i21:r2,utility,pair_deltas,qwen3.5-9b-or,incident_postmortem,Incident postmortem,A permissions migration briefly gave managers read access to archived customer notes.,14,2,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i21:r2,utility_high,utility_low,hl_high,hl_low,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i21:r2::a,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i21:r2::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__qwen3.5-9b-or__2026-06-13_04-06-00Z__hash-ddba9133645f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__qwen3.5-9b-or__2026-06-13_04-06-00Z__hash-ddba9133645f,right,left,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i21:r2::b,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i21:r2::a,utility_high,1.0
7,utility:modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r0,utility,pair_deltas,deepseek-v3.2-or,grant_proposal_abstract,Grant abstract,adaptive tutoring for community college algebra,24,0,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r0,utility_high,utility_low,hl_high,hl_low,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r0::a,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r0::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__deepseek-v3.2-or__2026-06-13_04-04-49Z__hash-d4e6f64fd77f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__deepseek-v3.2-or__2026-06-13_04-04-49Z__hash-d4e6f64fd77f,left,right,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r0::a,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i4:r0::b,tie,0.0
8,utility:modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i21:r2,utility,pair_deltas,glm-5.1-or,incident_postmortem,Incident postmortem,A permissions migration briefly gave managers read access to archived customer notes.,14,2,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i21:r2,utility_high,utility_low,hl_high,hl_low,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i21:r2::a,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i21:r2::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__glm-5.1-or__2026-06-13_04-05-21Z__hash-9ab484b06507,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__glm-5.1-or__2026-06-13_04-05-21Z__hash-9ab484b06507,left,right,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i21:r2::a,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i21:r2::b,tie,0.0
9,utility:modgrid_translation_highlow:mimo-v25-pro-or:translation:i21:r0,utility,pair_deltas,mimo-v25-pro-or,translation,Translation,另外，今天还将出让白云区同和东坑蟾蜍石北路一幅二类居住用地（R2），用地面积32891平方米（可建设用地30965平方米），建筑面积92895平方米，挂牌起始价61311万元，折合楼面地价6600元/平方米。,14,0,modgrid_translation_highlow:mimo-v25-pro-or:translation:i21:r0,utility_high,utility_low,hl_high,hl_low,modgrid_translation_highlow:mimo-v25-pro-or:translation:i21:r0::a,modgrid_translation_highlow:mimo-v25-pro-or:translation:i21:r0::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_headroom+modgrid_translation_highlow+modgrid_translation_moral__mimo-v25-pro-or__2026-06-13_04-05-46Z__hash-970cf2a4fad7,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_headroom+modgrid_translation_highlow+modgrid_translation_moral__mimo-v25-pro-or__2026-06-13_04-05-46Z__hash-970cf2a4fad7,left,right,modgrid_translation_highlow:mimo-v25-pro-or:translation:i21:r0::a,modgrid_translation_highlow:mimo-v25-pro-or:translation:i21:r0::b,utility_low,-1.0
