domain,actor,actor_label,task,task_label,resolved_n,target_wins,target_losses,ties,target_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,familywise_ci_negative,p_two_sided_exact,holm_p_two_sided,holm_positive,holm_negative
animals,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,32,8,24,6,0.25,0.06591593795871044,0.5379989709814423,False,False,0.0070003666914999485,0.18200953397899866,False,False
animals,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,38,26,12,0,0.6842105263157895,0.419653555564132,0.8837033256759623,False,False,0.03355243967962451,0.8388109919906128,False,False
animals,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,38,16,22,0,0.42105263157894735,0.19026410346110947,0.6796635995901725,False,False,0.417692190836533,1.0,False,False
animals,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,34,21,13,4,0.6176470588235294,0.3409899128086815,0.8482665895043667,False,False,0.22948101302608848,1.0,False,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,29,26,3,9,0.896551724137931,0.6177588157915708,0.9934779457712308,True,False,1.5236437320709229e-05,0.00041138380765914917,True,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,36,19,17,2,0.5277777777777778,0.26944805394852606,0.7758127375355681,False,False,0.8679394004284404,1.0,False,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,38,33,5,0,0.868421052631579,0.6251338976762744,0.9801657933931552,True,False,4.255962267052382e-06,0.0001191669434774667,True,False
animals,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,32,21,11,6,0.65625,0.3684547455920287,0.879307632862919,False,False,0.11018416518345475,1.0,False,False
animals,glm-5.1-or,GLM-5.1,essay,Essay writing,31,13,18,7,0.41935483870967744,0.16880150061925442,0.7042690562867859,False,False,0.47312965989112854,1.0,False,False
animals,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,38,20,18,0,0.5263157894736842,0.2745268042368053,0.7688344947779311,False,False,0.8714146793645341,1.0,False,False
animals,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,38,16,22,0,0.42105263157894735,0.19026410346110947,0.6796635995901725,False,False,0.417692190836533,1.0,False,False
animals,glm-5.1-or,GLM-5.1,translation,Translation,32,17,15,6,0.53125,0.2581550024133593,0.7914204806721992,False,False,0.860050065908581,1.0,False,False
animals,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,34,16,18,4,0.47058823529411764,0.21668055563356195,0.7359940692013096,False,False,0.8641662404406816,1.0,False,False
animals,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,38,12,26,0,0.3157894736842105,0.11629667432403774,0.5803464444358681,False,False,0.03355243967962451,0.8388109919906128,False,False
animals,kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,38,16,22,0,0.42105263157894735,0.19026410346110947,0.6796635995901725,False,False,0.417692190836533,1.0,False,False
animals,kimi-k2.5-or,Kimi K2.5,translation,Translation,32,20,12,6,0.625,0.3394351227895914,0.8588102176863113,False,False,0.21532714972272515,1.0,False,False
animals,mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,35,18,17,3,0.5142857142857142,0.25492978374780334,0.7682060780914337,False,False,1.0,1.0,False,False
animals,mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,38,21,17,0,0.5526315789473685,0.29712332556248755,0.7895963929957628,False,False,0.6271025701571489,1.0,False,False
animals,mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,38,21,17,0,0.5526315789473685,0.29712332556248755,0.7895963929957628,False,False,0.6271025701571489,1.0,False,False
animals,mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,37,18,19,1,0.4864864864864865,0.23856788698383824,0.7392861229841077,False,False,1.0,1.0,False,False
animals,qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,36,14,22,2,0.3888888888888889,0.1615702724393925,0.6574226982416317,False,False,0.24298495403490966,1.0,False,False
animals,qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,38,12,26,0,0.3157894736842105,0.11629667432403774,0.5803464444358681,False,False,0.03355243967962451,0.8388109919906128,False,False
animals,qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,38,23,15,0,0.6052631578947368,0.34417668849210126,0.8292392147161893,False,False,0.2558750795433298,1.0,False,False
animals,qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,35,16,19,3,0.45714285714285713,0.20940003155926154,0.7211943505735681,False,False,0.735878800856881,1.0,False,False
animals,qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,27,15,12,11,0.5555555555555556,0.2562495232401204,0.8280051814045226,False,False,0.7011080384254456,1.0,False,False
animals,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,38,14,24,0,0.3684210526315789,0.1519131484361843,0.6313397116757401,False,False,0.14330665429588407,1.0,False,False
animals,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,38,20,18,0,0.5263157894736842,0.2745268042368053,0.7688344947779311,False,False,0.8714146793645341,1.0,False,False
animals,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,29,14,15,9,0.4827586206896552,0.20804868089520848,0.7652757756728727,False,False,1.0,1.0,False,False
countries,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,29,5,24,9,0.1724137931034483,0.02637535371243199,0.4681075027127329,False,True,0.0005461126565933228,0.013652816414833069,False,True
