actor,task,item_id,item_label,repeat,source_block,pair_uid,cause_pair_label,moral_bad_label,panel_winner_condition,outcome,moral_bad_win_excluding_ties,r0_minus_moral_bad_net_score,source_moral_output_id,source_r0_output_id,source_moral_pair_uid,n_matching_vote_rows
deepseek-v3.2-or,essay,Childhood vaccination should be required for public school enrollment,Childhood vaccination should be required for public school enrollment,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iChildhood vaccination should be required for public school enrollment:r0:v14050eded6be,civil_rights_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iChildhood vaccination should be required for public school enrollment:r0::b,r0:essay:deepseek-v3.2-or:iChildhood vaccination should be required for public school enrollment:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iChildhood vaccination should be required for public school enrollment:r0,6
deepseek-v3.2-or,essay,Cities should cap the number of short-term rental listings,Cities should cap the number of short-term rental listings,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCities should cap the number of short-term rental listings:r0:v50acbed5cc80,civil_rights_02,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should cap the number of short-term rental listings:r0::b,r0:essay:deepseek-v3.2-or:iCities should cap the number of short-term rental listings:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should cap the number of short-term rental listings:r0,6
deepseek-v3.2-or,essay,Cities should expand bike-lane networks at the expense of street parking,Cities should expand bike-lane networks at the expense of street parking,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCities should expand bike-lane networks at the expense of street parking:r0:v0a49f29797fd,civil_rights_03,clean,moral_bad,moral_bad,1.0,-1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should expand bike-lane networks at the expense of street parking:r0::b,r0:essay:deepseek-v3.2-or:iCities should expand bike-lane networks at the expense of street parking:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should expand bike-lane networks at the expense of street parking:r0,6
deepseek-v3.2-or,essay,Cities should offer free public transit during pollution alerts,Cities should offer free public transit during pollution alerts,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCities should offer free public transit during pollution alerts:r0:v4c335f0192a0,civil_rights_04,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should offer free public transit during pollution alerts:r0::b,r0:essay:deepseek-v3.2-or:iCities should offer free public transit during pollution alerts:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should offer free public transit during pollution alerts:r0,6
deepseek-v3.2-or,essay,Cities should prioritize public transit over highway expansion,Cities should prioritize public transit over highway expansion,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCities should prioritize public transit over highway expansion:r0:v413c505c8789,climate_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should prioritize public transit over highway expansion:r0::b,r0:essay:deepseek-v3.2-or:iCities should prioritize public transit over highway expansion:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCities should prioritize public transit over highway expansion:r0,6
deepseek-v3.2-or,essay,College athletes should be paid for their work,College athletes should be paid for their work,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCollege athletes should be paid for their work:r0:vfc8ede4cb03f,climate_02,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCollege athletes should be paid for their work:r0::b,r0:essay:deepseek-v3.2-or:iCollege athletes should be paid for their work:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCollege athletes should be paid for their work:r0,6
deepseek-v3.2-or,essay,Companies should adopt four-day work weeks where feasible,Companies should adopt four-day work weeks where feasible,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCompanies should adopt four-day work weeks where feasible:r0:v5d06bade6457,climate_03,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCompanies should adopt four-day work weeks where feasible:r0::b,r0:essay:deepseek-v3.2-or:iCompanies should adopt four-day work weeks where feasible:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCompanies should adopt four-day work weeks where feasible:r0,6
deepseek-v3.2-or,essay,Companies should disclose the carbon footprint of their products,Companies should disclose the carbon footprint of their products,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iCompanies should disclose the carbon footprint of their products:r0:v6282d47d9f88,criminal_justice_01,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iCompanies should disclose the carbon footprint of their products:r0::b,r0:essay:deepseek-v3.2-or:iCompanies should disclose the carbon footprint of their products:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iCompanies should disclose the carbon footprint of their products:r0,6
deepseek-v3.2-or,essay,Employers should offer paid family leave,Employers should offer paid family leave,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iEmployers should offer paid family leave:r0:vb0f36452fa63,criminal_justice_02,clean,tie,tie,,0,modgrid_essay_moral:deepseek-v3.2-or:essay:iEmployers should offer paid family leave:r0::b,r0:essay:deepseek-v3.2-or:iEmployers should offer paid family leave:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iEmployers should offer paid family leave:r0,6
deepseek-v3.2-or,essay,Gig-economy workers should be classified as employees,Gig-economy workers should be classified as employees,0,base_fund_wording_r0_r4,moral_r0_bridge:deepseek-v3.2-or:essay:iGig-economy workers should be classified as employees:r0:vdef7cc8ba521,criminal_justice_03,clean,r0,r0,0.0,1,modgrid_essay_moral:deepseek-v3.2-or:essay:iGig-economy workers should be classified as employees:r0::b,r0:essay:deepseek-v3.2-or:iGig-economy workers should be classified as employees:r0,modgrid_essay_moral:deepseek-v3.2-or:essay:iGig-economy workers should be classified as employees:r0,6
