Task,Dimension,"Arm gap (SD units, 95% CI)",Raw arm gap (95% CI),Panel association (95% CI)
Essay writing,Words,"+0.46 [+0.42, +0.50]","+17.0 [+15.5, +18.6]","+0.20 [+0.18, +0.23]"
,Rare-word rate per 1k words,"+0.47 [+0.38, +0.55]","+10.4 [+8.4, +12.3]","+0.10 [+0.07, +0.12]"
,Argument depth,"+0.39 [+0.16, +0.62]","+0.35 [+0.14, +0.55]","+0.12 [+0.02, +0.22]"
,Rhetorical coherence and closure,"+0.29 [+0.06, +0.52]","+0.24 [+0.05, +0.43]","+0.13 [+0.02, +0.24]"
Grant abstract,Words,"+0.25 [+0.20, +0.29]","+14.4 [+12.0, +16.9]","+0.20 [+0.17, +0.23]"
,MATTR-50,"+0.33 [+0.28, +0.37]","+0.005 [+0.004, +0.006]","+0.13 [+0.10, +0.16]"
,Rare-word rate per 1k words,"+0.51 [+0.47, +0.56]","+9.7 [+8.9, +10.5]","+0.15 [+0.12, +0.18]"
,Flesch-Kincaid grade,"+0.22 [+0.18, +0.27]","+0.33 [+0.27, +0.40]","+0.08 [+0.06, +0.11]"
,Grant Abstract Quality Composite,"+0.68 [+0.48, +0.88]","+0.47 [+0.33, +0.62]","+0.26 [+0.13, +0.38]"
Incident postmortem,Words,"+0.58 [+0.54, +0.62]","+66.4 [+62.1, +70.6]","+0.26 [+0.22, +0.30]"
,MATTR-50,"+0.28 [+0.22, +0.35]","+0.005 [+0.004, +0.007]","+0.06 [+0.03, +0.09]"
,Rare-word rate per 1k words,"+0.29 [+0.22, +0.36]","+5.7 [+4.3, +7.0]","+0.12 [+0.10, +0.15]"
,Impact specificity,"+0.37 [+0.09, +0.64]","+0.32 [+0.08, +0.56]","+0.16 [+0.03, +0.29]"
,Detection/observability analysis,"+0.27 [+0.01, +0.52]","+0.24 [+0.01, +0.48]","+0.15 [+0.03, +0.27]"
,Action-item concreteness,"+0.41 [+0.14, +0.69]","+0.36 [+0.12, +0.59]","+0.17 [+0.05, +0.30]"
Translation,Fluency/idiomaticity,"+0.31 [+0.13, +0.48]","+0.24 [+0.10, +0.39]","+0.32 [+0.19, +0.44]"
,Structural clarity,"+0.28 [+0.10, +0.46]","+0.13 [+0.05, +0.22]","+0.16 [+0.02, +0.29]"
