coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
direct_instruction:framed_user_strong_headroom:gpt-5.4-mini-or:incident_postmortem:i13:r1:v05998729bac5,direct_instruction,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,direct_high,direct_low,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"Output A quantifies the impact duration with a placeholder '[X] hours', indicating an intention to be specific, which B does not. A also explicitly mentions 'classroom disruption' and 'increased support load'."
direct_instruction:framed_user_strong_headroom:gpt-5.4-mini-or:incident_postmortem:i13:r1:v05998729bac5,direct_instruction,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,direct_high,direct_low,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"Output A provides a more detailed timeline with more granular timestamps and a clearer progression of events, including the initial hypothesis and the specific actions taken (allowlist, configuration update)."
direct_instruction:framed_user_strong_headroom:gpt-5.4-mini-or:incident_postmortem:i13:r1:v05998729bac5,direct_instruction,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,direct_high,direct_low,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,"Output A clearly distinguishes between the direct cause (rate-limiter configuration) and the deeper systemic cause (design assumption about IP-user correlation), providing a more precise breakdown."
direct_instruction:framed_user_strong_headroom:gpt-5.4-mini-or:incident_postmortem:i13:r1:v05998729bac5,direct_instruction,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,direct_high,direct_low,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"Output A lists more distinct contributing factors (5 vs 4) and includes 'Missing test coverage for NAT-heavy environments' and 'Insufficient exception handling for institutional networks', which are more specific than B's 'Insufficient testing with realistic customer environments'."
direct_instruction:framed_user_strong_headroom:gpt-5.4-mini-or:incident_postmortem:i13:r1:v05998729bac5,direct_instruction,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,direct_high,direct_low,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,A,left,1.0,"Output A mentions 'Monitoring and logs were sufficient to trace the failure mode without needing a code rollback' under 'What Went Well', and implicitly addresses detection through the timeline. Output B mentions 'Limited observability in rate-limit decisions' as a contributing factor, but A's 'Improve alerting' action item is more concrete for future detection."
direct_instruction:framed_user_strong_headroom:gpt-5.4-mini-or:incident_postmortem:i13:r1:v05998729bac5,direct_instruction,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,direct_high,direct_low,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",A,left,1.0,"Output A provides 7 action items, which are generally more concrete and specific than B's 6. For example, A's 'Add safety rails' with 'graduated responses' is more detailed than B's 'Create explicit exceptions'. A also includes 'Document escalation and allowlisting procedures' and 'Communicate with affected customers' which are very concrete."
direct_instruction:framed_user_strong_headroom:gpt-5.4-mini-or:incident_postmortem:i13:r1:v05998729bac5,direct_instruction,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,direct_high,direct_low,blameless_systems_framing,Which postmortem avoids individual blame while still giving a candid causal account?,tie,tie,0.0,"Both outputs maintain a blameless tone effectively, focusing on system design and process rather than individual fault."
direct_instruction:framed_user_strong_headroom:gpt-5.4-mini-or:incident_postmortem:i13:r1:v05998729bac5,direct_instruction,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,direct_high,direct_low,operational_realism,Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,A,left,1.0,"Output A feels slightly more like a real engineering postmortem due to its slightly more detailed timeline, more granular contributing factors, and more specific action items, including communication and documentation aspects."
direct_instruction:framed_user_strong_headroom:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1:blockblock01:v506880b0c241,direct_instruction,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,direct_high,direct_low,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,B,left,1.0,"Output B's thesis statement is more direct and impactful, immediately framing the issue as one of exclusivity versus universal right. It also uses stronger, more evocative language ('civic sanctuaries into exclusive enclaves', 'foundational promise that cultural heritage belongs to everyone, not merely the privileged') to convey the stakes."
direct_instruction:framed_user_strong_headroom:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1:blockblock01:v506880b0c241,direct_instruction,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,direct_high,direct_low,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",B,left,1.0,"Output B provides slightly deeper reasoning for its arguments. For example, in the education argument, it explicitly states that museums offer 'immersive learning that textbooks simply cannot provide' and that fees 'effectively price out low-income families, denying children crucial supplemental education.' In the community cohesion argument, it mentions the 'insurmountable psychological and financial barrier' and how free entry transforms the museum from an 'elite country club into a vibrant, integrated town square,' which is more descriptive than A's 'exclusive enclave into a shared civic space.'"
direct_instruction:framed_user_strong_headroom:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1:blockblock01:v506880b0c241,direct_instruction,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,direct_high,direct_low,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",B,left,1.0,"Output B's example of the Smithsonian Institution is more specific and illustrative. It highlights the sheer volume of visitors (30 million annually) and explicitly mentions 'public school students from under-resourced neighborhoods stand shoulder-to-shoulder with international travelers,' directly linking the free access to the benefits of democratization and community cohesion. Output A's example of the British Museum is good but less specific in demonstrating the direct impact on diverse local populations."
direct_instruction:framed_user_strong_headroom:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1:blockblock01:v506880b0c241,direct_instruction,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,direct_high,direct_low,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,B,left,1.0,"Output B subtly addresses a potential counterargument (financial sustainability) by stating, 'This model proves that financial sustainability need not come at the cost of public access.' Output A does not explicitly address any counterarguments."
direct_instruction:framed_user_strong_headroom:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1:blockblock01:v506880b0c241,direct_instruction,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,direct_high,direct_low,rhetorical_coherence_closure,"Which essay has better paragraph flow, transitions, and final synthesis?",B,left,1.0,"Output B has a slightly stronger and more impactful closing. The phrase 'Free admission is not merely a policy preference; it is a moral imperative' provides a more definitive and memorable conclusion than A's 'If we believe that cultural enrichment is a public good, we must remove the barriers to it.'"
direct_instruction:framed_user_strong_headroom:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1:blockblock01:v506880b0c241,direct_instruction,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,direct_high,direct_low,plausibility_overreach,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",tie,tie,0.0,Both essays maintain a plausible and well-supported tone without exaggerated or factually dubious claims.
direct_instruction:framed_user_strong_headroom:qwen3.6-plus-or:incident_postmortem:i1:r0:blockblock01:v37397ba7c1a8,direct_instruction,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,direct_high,direct_low,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"Output A provides more granular detail on the impact, including the range of duplicate emails received per customer, the specific percentage increase in support volume, and the impact on other transactional emails due to ESP rate limits. Output B is slightly less specific, stating 'two identical invoice emails' and 'temporarily exhausted the connection pool'."
direct_instruction:framed_user_strong_headroom:qwen3.6-plus-or:incident_postmortem:i1:r0:blockblock01:v37397ba7c1a8,direct_instruction,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,direct_high,direct_low,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"Output A provides a more detailed and precise timeline with more distinct events and specific times, such as '14:00 UTC: A transient latency spike occurred', '14:02 UTC: The InvoiceDispatcher background job began failing', and '14:20 UTC: Mitigation began by pausing the InvoiceDispatcher queue'. Output B's timeline is slightly less granular."
direct_instruction:framed_user_strong_headroom:qwen3.6-plus-or:incident_postmortem:i1:r0:blockblock01:v37397ba7c1a8,direct_instruction,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,direct_high,direct_low,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,"Output A identifies the proximate technical failure (aggressive retry logic, lack of idempotency) and then adds a deeper system failure (insufficient circuit breaker). Output B covers similar points but doesn't introduce the circuit breaker concept as a distinct root cause."
direct_instruction:framed_user_strong_headroom:qwen3.6-plus-or:incident_postmortem:i1:r0:blockblock01:v37397ba7c1a8,direct_instruction,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,direct_high,direct_low,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"Output A provides a clearer separation and more distinct contributing factors, including 'Configuration Default' (a process/policy issue), 'Testing Gap', and 'Alert Noise'. Output B's 'Monitoring Latency' is similar to 'Alert Noise' but 'Configuration Drift' is less clearly defined than A's 'Configuration Default'."
direct_instruction:framed_user_strong_headroom:qwen3.6-plus-or:incident_postmortem:i1:r0:blockblock01:v37397ba7c1a8,direct_instruction,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,direct_high,direct_low,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,A,left,1.0,"Output A explicitly mentions 'Alert Noise' as a contributing factor, stating 'Initial alerts were categorized as 'Warning' rather than 'Critical,' delaying the immediate recognition of the scale of the duplication.' This directly addresses why detection was not earlier or why alerts failed. Output B mentions 'Monitoring Latency' and 'Alerts were based on error rates, not on duplicate detection' but A's explanation is more direct about the alert's failure."
direct_instruction:framed_user_strong_headroom:qwen3.6-plus-or:incident_postmortem:i1:r0:blockblock01:v37397ba7c1a8,direct_instruction,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,direct_high,direct_low,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",A,left,1.0,"Output A's action items are more concrete and specific. For example, 'Add Idempotency Keys: Modify the InvoiceDispatcher to record sent invoice IDs in a deduplication store (Redis) with a 24-hour TTL. Check this store before sending.' is more detailed than B's 'Introduce a database record or cache entry to track sent invoices. Before sending, check if an email for invoice_id has been sent in the last 24 hours.' Output A also includes an 'Eng Manager' as an owner, which adds realism."
