sample_index,coding_pair_uid,comparison_name,source_mode,actor,task,task_label,item_label,item_index,repeat,source_pair_uid,left_condition,right_condition,left_raw_condition,right_raw_condition,left_output_id,right_output_id,left_run_dir,right_run_dir,a_side,b_side,output_a_id,output_b_id,panel_winner_condition,effect_score_left_minus_right
0,moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,incident_postmortem,Incident postmortem,A permissions migration briefly gave managers read access to archived customer notes.,14,0,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b,modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__gpt-5.4-mini-or__2026-06-13_04-05-05Z__hash-aa065ed0a14e,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_framed_empty__gpt-5.4-mini-or__2026-06-17_01-50-15Z__hash-02be1849bb1a,left,right,modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b,modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,,
1,moral_low_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_moral:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::b:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,moral_low_vs_framed_empty,arm_match,glm-5.1-or,essay,Essay writing,Public museums should be free to all visitors,19,9,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_essay_moral:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::b,modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__modgrid_essay_amount+modgrid_essay_highlow+modgrid_essay_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-aaf52a4356d2,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__modgrid_essay_framed_empty__glm-5.1-or__2026-06-17_01-53-07Z__hash-69a14c9ea19b,right,left,modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,modgrid_essay_moral:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::b,,
2,moral_low_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-rollback-restored-application-code-but-not-a-matching-database-view-causing-report-failures.:r4:modgrid_incident_moral:qwen3.6-plus-or:incident_postmortem:i17:r4::b:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i17:r4::a,moral_low_vs_framed_empty,arm_match,qwen3.6-plus-or,incident_postmortem,Incident postmortem,"A rollback restored application code but not a matching database view, causing report failures.",9,4,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_incident_moral:qwen3.6-plus-or:incident_postmortem:i17:r4::b,modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i17:r4::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-7b746e78f4f1,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_framed_empty__qwen3.6-plus-or__2026-06-17_01-52-19Z__hash-028477f54b28,left,right,modgrid_incident_moral:qwen3.6-plus-or:incident_postmortem:i17:r4::b,modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i17:r4::a,,
3,moral_low_vs_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:ivolunteer-coordination-platforms-for-disaster-response:r0:modgrid_grant_moral:qwen3.6-plus-or:grant_proposal_abstract:i23:r0::b:modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i23:r0::a,moral_low_vs_framed_empty,arm_match,qwen3.6-plus-or,grant_proposal_abstract,Grant abstract,volunteer-coordination platforms for disaster response,16,0,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_grant_moral:qwen3.6-plus-or:grant_proposal_abstract:i23:r0::b,modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i23:r0::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-3fa785d4fc57,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_framed_empty__qwen3.6-plus-or__2026-06-17_01-52-19Z__hash-e7b0a8871296,left,right,modgrid_grant_moral:qwen3.6-plus-or:grant_proposal_abstract:i23:r0::b,modgrid_grant_framed_empty:qwen3.6-plus-or:grant_proposal_abstract:i23:r0::a,,
4,moral_low_vs_framed_empty:glm-5.1-or:grant_proposal_abstract:iopen-textbook-adaptation-for-vocational-training:r7:modgrid_grant_moral:glm-5.1-or:grant_proposal_abstract:i26:r7::b:modgrid_grant_framed_empty:glm-5.1-or:grant_proposal_abstract:i26:r7::a,moral_low_vs_framed_empty,arm_match,glm-5.1-or,grant_proposal_abstract,Grant abstract,open textbook adaptation for vocational training,19,7,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_grant_moral:glm-5.1-or:grant_proposal_abstract:i26:r7::b,modgrid_grant_framed_empty:glm-5.1-or:grant_proposal_abstract:i26:r7::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_amount+modgrid_grant_highlow+modgrid_grant_moral__glm-5.1-or__2026-06-15_02-40-27Z__hash-64628b789970,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_framed_empty__glm-5.1-or__2026-06-17_01-53-07Z__hash-6d2b40354f99,right,left,modgrid_grant_framed_empty:glm-5.1-or:grant_proposal_abstract:i26:r7::a,modgrid_grant_moral:glm-5.1-or:grant_proposal_abstract:i26:r7::b,,
5,moral_low_vs_framed_empty:qwen3.6-plus-or:translation:i300-4:r4:modgrid_translation_moral:qwen3.6-plus-or:translation:i22:r4::b:modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r4::a,moral_low_vs_framed_empty,arm_match,qwen3.6-plus-or,translation,Translation,另外惠工路和万达广场两条步行街的园林绿化、景观地铺进行了提档升级，种植乔木约300株，改造地铺4万平方米，提升了南坪商圈形象；,15,4,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_translation_moral:qwen3.6-plus-or:translation:i22:r4::b,modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r4::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_headroom+modgrid_translation_highlow+modgrid_translation_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-920b20c6061e,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_framed_empty__qwen3.6-plus-or__2026-06-17_01-52-19Z__hash-9b19b7fb2ae7,right,left,modgrid_translation_framed_empty:qwen3.6-plus-or:translation:i22:r4::a,modgrid_translation_moral:qwen3.6-plus-or:translation:i22:r4::b,,
6,moral_low_vs_framed_empty:qwen3.5-9b-or:incident_postmortem:iA-monitoring-silence-rule-masked-elevated-error-rates-during-a-holiday-traffic-spike.:r6:modgrid_incident_moral:qwen3.5-9b-or:incident_postmortem:i8:r6::b:modgrid_incident_framed_empty:qwen3.5-9b-or:incident_postmortem:i8:r6::a,moral_low_vs_framed_empty,arm_match,qwen3.5-9b-or,incident_postmortem,Incident postmortem,A monitoring silence rule masked elevated error rates during a holiday traffic spike.,28,6,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_incident_moral:qwen3.5-9b-or:incident_postmortem:i8:r6::b,modgrid_incident_framed_empty:qwen3.5-9b-or:incident_postmortem:i8:r6::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_amount+modgrid_incident_highlow+modgrid_incident_moral__qwen3.5-9b-or__2026-06-15_02-41-12Z__hash-3cf4617eb0c7,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_framed_empty__qwen3.5-9b-or__2026-06-17_01-52-15Z__hash-ec2acb931791,right,left,modgrid_incident_framed_empty:qwen3.5-9b-or:incident_postmortem:i8:r6::a,modgrid_incident_moral:qwen3.5-9b-or:incident_postmortem:i8:r6::b,,
7,moral_low_vs_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:iadaptive-tutoring-for-community-college-algebra:r4:modgrid_grant_moral:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::b:modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,moral_low_vs_framed_empty,arm_match,deepseek-v3.2-or,grant_proposal_abstract,Grant abstract,adaptive tutoring for community college algebra,24,4,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_grant_moral:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::b,modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__deepseek-v3.2-or__2026-06-13_04-04-49Z__hash-d4e6f64fd77f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_framed_empty__deepseek-v3.2-or__2026-06-17_01-46-49Z__hash-52e5628ee4c3,left,right,modgrid_grant_moral:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::b,modgrid_grant_framed_empty:deepseek-v3.2-or:grant_proposal_abstract:i4:r4::a,,
8,moral_low_vs_framed_empty:glm-5.1-or:incident_postmortem:iA-database-migration-locked-a-table-used-by-checkout-increasing-payment-failures-for-27-minutes.:r4:modgrid_incident_moral:glm-5.1-or:incident_postmortem:i2:r4::b:modgrid_incident_framed_empty:glm-5.1-or:incident_postmortem:i2:r4::a,moral_low_vs_framed_empty,arm_match,glm-5.1-or,incident_postmortem,Incident postmortem,"A database migration locked a table used by checkout, increasing payment failures for 27 minutes.",12,4,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_incident_moral:glm-5.1-or:incident_postmortem:i2:r4::b,modgrid_incident_framed_empty:glm-5.1-or:incident_postmortem:i2:r4::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__glm-5.1-or__2026-06-13_04-05-21Z__hash-9ab484b06507,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_framed_empty__glm-5.1-or__2026-06-17_01-53-07Z__hash-e25d316bf3a2,left,right,modgrid_incident_moral:glm-5.1-or:incident_postmortem:i2:r4::b,modgrid_incident_framed_empty:glm-5.1-or:incident_postmortem:i2:r4::a,,
9,moral_low_vs_framed_empty:mimo-v25-pro-or:translation:iABS-1.5-2-3.5-2013-3:r9:modgrid_translation_moral:mimo-v25-pro-or:translation:i17:r9::b:modgrid_translation_framed_empty:mimo-v25-pro-or:translation:i17:r9::a,moral_low_vs_framed_empty,arm_match,mimo-v25-pro-or,translation,Translation,澳洲统计局(ABS)数据显示，今年第二季度，全澳房屋价值平均上涨1.5%至2%，年增3.5%，创自2013年3月以来最低年增率。,9,9,,moral_low,framed_empty,moral_bad,framed_empty,modgrid_translation_moral:mimo-v25-pro-or:translation:i17:r9::b,modgrid_translation_framed_empty:mimo-v25-pro-or:translation:i17:r9::a,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_amount+modgrid_translation_highlow+modgrid_translation_moral__mimo-v25-pro-or__2026-06-15_02-40-41Z__hash-225bfd045d95,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_framed_empty__mimo-v25-pro-or__2026-06-17_01-52-10Z__hash-b7bab6a55c65,left,right,modgrid_translation_moral:mimo-v25-pro-or:translation:i17:r9::b,modgrid_translation_framed_empty:mimo-v25-pro-or:translation:i17:r9::a,,
