task,task_label,dimension,description,n_pairs,n_actors,mean_left_minus_right_equal_actor,ci_low,ci_high,ci_excludes_zero,raw_pair_mean,raw_pair_sd,pct_left_better,pct_right_better,pct_tie_or_not_applicable
essay,Essay writing,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",120,7,-0.31372549019607837,-0.5518207282913165,-0.08403361344537814,True,-0.31666666666666665,0.9347028767405794,0.325,0.6416666666666667,0.03333333333333333
essay,Essay writing,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",120,7,-0.22035480859010267,-0.5098506069094305,0.05882352941176472,False,-0.225,0.9654754565201839,0.375,0.6,0.025
essay,Essay writing,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,120,7,-0.19747899159663865,-0.38235294117647056,0.00010504201680520961,False,-0.2,0.784299719762903,0.225,0.425,0.35
essay,Essay writing,plausibility_overreach,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",120,7,0.008403361344537815,0.0,0.025210084033613443,False,0.008333333333333333,0.15855616046817284,0.016666666666666666,0.008333333333333333,0.975
essay,Essay writing,rhetorical_coherence_closure,"Which essay has better paragraph flow, transitions, and final synthesis?",120,7,-0.2815126050420168,-0.5462184873949579,-0.06302521008403361,True,-0.2833333333333333,0.8714262754251793,0.275,0.5583333333333333,0.16666666666666666
essay,Essay writing,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,120,7,-0.36507936507936506,-0.5490196078431372,-0.19701213818860877,True,-0.36666666666666664,0.8881416093209928,0.275,0.6416666666666667,0.08333333333333333
grant_proposal_abstract,Grant abstract,evaluation_rigor,"Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",118,7,-0.27124183006535946,-0.4401260504201681,-0.08846872082166199,True,-0.2711864406779661,0.9666314489531012,0.3644067796610169,0.635593220338983,0.0
grant_proposal_abstract,Grant abstract,feasibility_implementation_readiness,"Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",118,7,-0.2044234360410831,-0.40756302521008403,0.07236227824463118,False,-0.2033898305084746,0.9568406170263801,0.3728813559322034,0.576271186440678,0.05084745762711865
grant_proposal_abstract,Grant abstract,intervention_specificity,"Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",118,7,-0.30007002801120447,-0.5000437675070027,-0.06757703081232493,True,-0.2966101694915254,0.9546048722471093,0.3474576271186441,0.6440677966101694,0.00847457627118644
grant_proposal_abstract,Grant abstract,measurable_impact,"Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",118,7,-0.32633053221288516,-0.5322128851540616,-0.09803921568627451,True,-0.3220338983050847,0.9047014517451609,0.2966101694915254,0.6186440677966102,0.0847457627118644
grant_proposal_abstract,Grant abstract,problem_significance,"Which abstract more clearly states the need, affected population, and consequence of the problem?",118,7,-0.1540032679738562,-0.30777310924369744,0.03454715219421104,False,-0.15254237288135594,0.8536209315442012,0.2966101694915254,0.4491525423728814,0.2542372881355932
grant_proposal_abstract,Grant abstract,risk_mitigation,Which abstract identifies more realistic risks and more credible mitigation plans?,118,7,-0.3248716153127918,-0.5459908963585434,-0.01470588235294118,True,-0.3220338983050847,0.9417328629531148,0.3305084745762712,0.652542372881356,0.01694915254237288
grant_proposal_abstract,Grant abstract,stakeholder_context_fit,Which abstract better fits the affected community or deployment setting?,118,7,-0.3154178338001868,-0.5278944911297853,-0.042010971055088796,True,-0.3135593220338983,0.8642881814264167,0.2627118644067797,0.576271186440678,0.16101694915254236
incident_postmortem,Incident postmortem,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",119,7,0.030462184873949583,-0.2416754201680672,0.30252100840336127,False,0.03361344537815126,0.9994301182041805,0.5126050420168067,0.4789915966386555,0.008403361344537815
incident_postmortem,Incident postmortem,blameless_systems_framing,Which postmortem avoids individual blame while still giving a candid causal account?,119,7,-0.02439309056956115,-0.10469187675070027,0.04201680672268908,False,-0.025210084033613446,0.3556370477438466,0.05042016806722689,0.07563025210084033,0.8739495798319328
incident_postmortem,Incident postmortem,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",119,7,0.08181605975723626,-0.25,0.3949579831932773,False,0.08403361344537816,0.9964328915361721,0.5378151260504201,0.453781512605042,0.008403361344537815
incident_postmortem,Incident postmortem,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,119,7,0.07761437908496734,-0.14101307189542484,0.29610469187675065,False,0.07563025210084033,0.992852967296908,0.5294117647058824,0.453781512605042,0.01680672268907563
incident_postmortem,Incident postmortem,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",119,7,0.04925303454715221,-0.18907563025210083,0.31185807656395886,False,0.05042016806722689,0.998717308671803,0.5210084033613446,0.47058823529411764,0.008403361344537815
incident_postmortem,Incident postmortem,operational_realism,Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,119,7,0.13293650793650794,-0.12710084033613445,0.4024276377217553,False,0.13445378151260504,0.9471130957103737,0.5210084033613446,0.3865546218487395,0.09243697478991597
incident_postmortem,Incident postmortem,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,119,7,0.0631419234360411,-0.23284313725490197,0.34794584500466824,False,0.06722689075630252,0.9977185197712268,0.5294117647058824,0.46218487394957986,0.008403361344537815
incident_postmortem,Incident postmortem,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,119,7,0.05578898225957047,-0.20051353874883285,0.3352007469654529,False,0.058823529411764705,1.002489423817231,0.5294117647058824,0.47058823529411764,0.0
