condition,condition_label,actor,actor_label,task,task_label,resolved_n,target_wins,target_losses,ties,target_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive
amount,Amount,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,120,55,65,180,0.4583333333333333,0.31783176683191283,0.6036400215170876,False,0.4114232202639375,1.0,False
amount,Amount,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,131,87,44,169,0.6641221374045801,0.5253584234722366,0.7855067866346607,True,0.00021577652478126048,0.005825966169094033,True
amount,Amount,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,160,73,87,140,0.45625,0.33417942750023816,0.5821120525974808,False,0.30405987771541065,1.0,False
amount,Amount,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,112,47,65,188,0.41964285714285715,0.27812500197018775,0.57108577302127,False,0.10778227965475423,1.0,False
amount,Amount,glm-5.1-or,GLM-5.1,essay,Essay writing,110,56,54,190,0.509090909090909,0.3589200893338823,0.65811917131145,False,0.9240973917982828,1.0,False
amount,Amount,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,177,136,41,123,0.768361581920904,0.6572170896366742,0.8583740320362931,True,4.2404913982013807e-13,1.1873375914963866e-11,True
amount,Amount,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,144,61,83,156,0.4236111111111111,0.2976862369267241,0.5568891947870175,False,0.07975707036384032,1.0,False
amount,Amount,glm-5.1-or,GLM-5.1,translation,Translation,117,50,67,183,0.42735042735042733,0.2879408153195617,0.5753528552238785,False,0.13875316894302567,1.0,False
amount,Amount,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,95,61,34,205,0.6421052631578947,0.4773027771443603,0.7862382547022704,False,0.007313123139453615,0.18282807848634036,False
amount,Amount,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,98,57,41,202,0.5816326530612245,0.4195855010631096,0.7321755276838382,False,0.12929258395357313,1.0,False
amount,Amount,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,143,84,59,157,0.5874125874125874,0.45358813413891286,0.7127632814734388,False,0.04437293451220857,0.9762045592685885,False
amount,Amount,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,114,55,59,186,0.4824561403508772,0.3365765049327529,0.630464199136741,False,0.778876092002701,1.0,False
