sample_index,coding_pair_uid,comparison_name,source_mode,actor,task,task_label,item_label,item_index,repeat,source_pair_uid,left_condition,right_condition,left_raw_condition,right_raw_condition,left_output_id,right_output_id,left_run_dir,right_run_dir,a_side,b_side,output_a_id,output_b_id,panel_winner_condition,effect_score_left_minus_right
0,utility_high_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r0:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i3:r0::a:r0:incident_postmortem:gpt-5.4-mini-or:i3:r0,utility_high_vs_r0,arm_match,gpt-5.4-mini-or,incident_postmortem,Incident postmortem,A cache invalidation bug showed stale medication refill statuses in a clinic portal for two hours.,23,0,,utility_high,r0,hl_high,r0,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i3:r0::a,r0:incident_postmortem:gpt-5.4-mini-or:i3:r0,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__gpt-5.4-mini-or__2026-06-13_04-05-05Z__hash-aa065ed0a14e,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,left,right,modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i3:r0::a,r0:incident_postmortem:gpt-5.4-mini-or:i3:r0,,
1,utility_high_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,utility_high_vs_r0,arm_match,glm-5.1-or,essay,Essay writing,Employers should offer paid family leave,8,0,,utility_high,r0,hl_high,r0,modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a,r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__4-comparisons__glm-5.1-or__2026-06-13_04-05-21Z__hash-055b24c48100,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,right,left,r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a,,
2,utility_high_vs_r0:qwen3.6-plus-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r2:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i3:r2::a:r0:incident_postmortem:qwen3.6-plus-or:i3:r2,utility_high_vs_r0,arm_match,qwen3.6-plus-or,incident_postmortem,Incident postmortem,A cache invalidation bug showed stale medication refill statuses in a clinic portal for two hours.,23,2,,utility_high,r0,hl_high,r0,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i3:r2::a,r0:incident_postmortem:qwen3.6-plus-or:i3:r2,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-7b746e78f4f1,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,left,right,modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i3:r2::a,r0:incident_postmortem:qwen3.6-plus-or:i3:r2,,
3,utility_high_vs_r0:qwen3.6-plus-or:grant_proposal_abstract:itransit-accessibility-audits-for-wheelchair-users:r3:modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i25:r3::a:r0:grant_proposal_abstract:qwen3.6-plus-or:i25:r3,utility_high_vs_r0,arm_match,qwen3.6-plus-or,grant_proposal_abstract,Grant abstract,transit-accessibility audits for wheelchair users,18,3,,utility_high,r0,hl_high,r0,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i25:r3::a,r0:grant_proposal_abstract:qwen3.6-plus-or:i25:r3,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-3fa785d4fc57,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,left,right,modgrid_grant_highlow:qwen3.6-plus-or:grant_proposal_abstract:i25:r3::a,r0:grant_proposal_abstract:qwen3.6-plus-or:i25:r3,,
4,utility_high_vs_r0:glm-5.1-or:grant_proposal_abstract:ilanguage-preservation-archives-for-indigenous-communities:r0:modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i28:r0::a:r0:grant_proposal_abstract:glm-5.1-or:i28:r0,utility_high_vs_r0,arm_match,glm-5.1-or,grant_proposal_abstract,Grant abstract,language-preservation archives for indigenous communities,21,0,,utility_high,r0,hl_high,r0,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i28:r0::a,r0:grant_proposal_abstract:glm-5.1-or:i28:r0,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__glm-5.1-or__2026-06-13_04-05-21Z__hash-7e2183bc39fb,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,right,left,r0:grant_proposal_abstract:glm-5.1-or:i28:r0,modgrid_grant_highlow:glm-5.1-or:grant_proposal_abstract:i28:r0::a,,
5,utility_high_vs_r0:qwen3.6-plus-or:translation:inone:r1:modgrid_translation_highlow:qwen3.6-plus-or:translation:i5:r1::a:r0:translation:qwen3.6-plus-or:i5:r1,utility_high_vs_r0,arm_match,qwen3.6-plus-or,translation,Translation,性爱机器人的兴起带来很多不安——不仅仅是取代了真实的人类关系——而且卑躬屈膝的女性特征以及在冷艳（解读为：抗拒）法拉身上抽动的强奸暗示是最令人担忧的。,25,1,,utility_high,r0,hl_high,r0,modgrid_translation_highlow:qwen3.6-plus-or:translation:i5:r1::a,r0:translation:qwen3.6-plus-or:i5:r1,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_headroom+modgrid_translation_highlow+modgrid_translation_moral__qwen3.6-plus-or__2026-06-13_04-06-17Z__hash-920b20c6061e,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,right,left,r0:translation:qwen3.6-plus-or:i5:r1,modgrid_translation_highlow:qwen3.6-plus-or:translation:i5:r1::a,,
6,utility_high_vs_r0:qwen3.5-9b-or:incident_postmortem:iA-batch-import-duplicated-volunteer-shift-assignments-for-a-disaster-response-nonprofit.:r4:modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i9:r4::a:r0:incident_postmortem:qwen3.5-9b-or:i9:r4,utility_high_vs_r0,arm_match,qwen3.5-9b-or,incident_postmortem,Incident postmortem,A batch import duplicated volunteer shift assignments for a disaster-response nonprofit.,29,4,,utility_high,r0,hl_high,r0,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i9:r4::a,r0:incident_postmortem:qwen3.5-9b-or:i9:r4,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__qwen3.5-9b-or__2026-06-13_04-06-00Z__hash-ddba9133645f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,right,left,r0:incident_postmortem:qwen3.5-9b-or:i9:r4,modgrid_incident_highlow:qwen3.5-9b-or:incident_postmortem:i9:r4::a,,
7,utility_high_vs_r0:deepseek-v3.2-or:grant_proposal_abstract:ienergy-aware-scheduling-for-small-manufacturers:r3:modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i7:r3::a:r0:grant_proposal_abstract:deepseek-v3.2-or:i7:r3,utility_high_vs_r0,arm_match,deepseek-v3.2-or,grant_proposal_abstract,Grant abstract,energy-aware scheduling for small manufacturers,27,3,,utility_high,r0,hl_high,r0,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i7:r3::a,r0:grant_proposal_abstract:deepseek-v3.2-or:i7:r3,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__modgrid_grant_headroom+modgrid_grant_highlow+modgrid_grant_moral__deepseek-v3.2-or__2026-06-13_04-04-49Z__hash-d4e6f64fd77f,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,left,right,modgrid_grant_highlow:deepseek-v3.2-or:grant_proposal_abstract:i7:r3::a,r0:grant_proposal_abstract:deepseek-v3.2-or:i7:r3,,
8,utility_high_vs_r0:glm-5.1-or:incident_postmortem:iA-file-upload-service-accepted-documents-but-failed-virus-scanning-delaying-case-review.:r2:modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i16:r2::a:r0:incident_postmortem:glm-5.1-or:i16:r2,utility_high_vs_r0,arm_match,glm-5.1-or,incident_postmortem,Incident postmortem,"A file upload service accepted documents but failed virus scanning, delaying case review.",8,2,,utility_high,r0,hl_high,r0,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i16:r2::a,r0:incident_postmortem:glm-5.1-or:i16:r2,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__modgrid_incident_headroom+modgrid_incident_highlow+modgrid_incident_moral__glm-5.1-or__2026-06-13_04-05-21Z__hash-9ab484b06507,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,left,right,modgrid_incident_highlow:glm-5.1-or:incident_postmortem:i16:r2::a,r0:incident_postmortem:glm-5.1-or:i16:r2,,
9,utility_high_vs_r0:mimo-v25-pro-or:translation:inone:r2:modgrid_translation_highlow:mimo-v25-pro-or:translation:i10:r2::a:r0:translation:mimo-v25-pro-or:i10:r2,utility_high_vs_r0,arm_match,mimo-v25-pro-or,translation,Translation,应越南共产党中央委员会总书记阮富仲、越南社会主义共和国主席陈大光、老挝人民革命党中央委员会总书记、老挝人民民主共和国主席本扬邀请。,2,2,,utility_high,r0,hl_high,r0,modgrid_translation_highlow:mimo-v25-pro-or:translation:i10:r2::a,r0:translation:mimo-v25-pro-or:i10:r2,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__modgrid_translation_headroom+modgrid_translation_highlow+modgrid_translation_moral__mimo-v25-pro-or__2026-06-13_04-05-46Z__hash-970cf2a4fad7,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/r0_generations.jsonl,left,right,modgrid_translation_highlow:mimo-v25-pro-or:translation:i10:r2::a,r0:translation:mimo-v25-pro-or:i10:r2,,
