sample_index,coding_pair_uid,comparison_name,source_mode,actor,task,task_label,item_label,item_index,repeat,source_pair_uid,left_condition,right_condition,left_raw_condition,right_raw_condition,left_output_id,right_output_id,left_run_dir,right_run_dir,a_side,b_side,output_a_id,output_b_id,panel_winner_condition,effect_score_left_minus_right
0,framed_user_prompt_role:framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,framed_user_prompt_role,pair_deltas,gpt-5.4-mini-or,incident_postmortem,Incident postmortem,A cron job generated duplicate payroll previews after a daylight saving time shift.,,,framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0::a,framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-59-23Z__hash-3c99091da3fa,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__gpt-5.4-mini-or__2026-06-21_00-59-23Z__hash-3c99091da3fa,left,right,framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0::a,framed_user_prompt_role:gpt-5.4-mini-or:incident_postmortem:16:v7275b212d4:r0::b,tie,0.0
1,framed_user_prompt_role:framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2,framed_user_prompt_role,pair_deltas,glm-5.1-or,essay,Essay writing,Companies should adopt four-day work weeks where feasible,,,framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2::a,framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__glm-5.1-or__2026-06-21_00-41-30Z__hash-c642903312de,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__glm-5.1-or__2026-06-21_00-41-30Z__hash-c642903312de,right,left,framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2::b,framed_user_prompt_role:glm-5.1-or:essay:6:v856adc948f:r2::a,role_strong,1.0
2,framed_user_prompt_role:framed_user_prompt_role:qwen3.6-plus-or:incident_postmortem:0:v0148ad2aee:r6,framed_user_prompt_role,pair_deltas,qwen3.6-plus-or,incident_postmortem,Incident postmortem,A feature flag rollout caused 18 percent of mobile users to see blank account balances for 42 minutes.,,,framed_user_prompt_role:qwen3.6-plus-or:incident_postmortem:0:v0148ad2aee:r6,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:qwen3.6-plus-or:incident_postmortem:0:v0148ad2aee:r6::a,framed_user_prompt_role:qwen3.6-plus-or:incident_postmortem:0:v0148ad2aee:r6::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-58-46Z__hash-9cc0ff858c46,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_04-58-46Z__hash-9cc0ff858c46,left,right,framed_user_prompt_role:qwen3.6-plus-or:incident_postmortem:0:v0148ad2aee:r6::a,framed_user_prompt_role:qwen3.6-plus-or:incident_postmortem:0:v0148ad2aee:r6::b,role_strong,1.0
3,framed_user_prompt_role:framed_user_prompt_role:qwen3.6-plus-or:grant_proposal_abstract:24:v90e6c964d3:r1,framed_user_prompt_role,pair_deltas,qwen3.6-plus-or,grant_proposal_abstract,Grant abstract,adaptive tutoring for community college algebra,,,framed_user_prompt_role:qwen3.6-plus-or:grant_proposal_abstract:24:v90e6c964d3:r1,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:qwen3.6-plus-or:grant_proposal_abstract:24:v90e6c964d3:r1::a,framed_user_prompt_role:qwen3.6-plus-or:grant_proposal_abstract:24:v90e6c964d3:r1::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_01-13-53Z__hash-e747425f2b2c,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_01-13-53Z__hash-e747425f2b2c,left,right,framed_user_prompt_role:qwen3.6-plus-or:grant_proposal_abstract:24:v90e6c964d3:r1::a,framed_user_prompt_role:qwen3.6-plus-or:grant_proposal_abstract:24:v90e6c964d3:r1::b,tie,0.0
4,framed_user_prompt_role:framed_user_prompt_role:glm-5.1-or:grant_proposal_abstract:1:vf77cf55978:r0,framed_user_prompt_role,pair_deltas,glm-5.1-or,grant_proposal_abstract,Grant abstract,low-cost heat alerts for older adults living alone,,,framed_user_prompt_role:glm-5.1-or:grant_proposal_abstract:1:vf77cf55978:r0,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:glm-5.1-or:grant_proposal_abstract:1:vf77cf55978:r0::a,framed_user_prompt_role:glm-5.1-or:grant_proposal_abstract:1:vf77cf55978:r0::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__glm-5.1-or__2026-06-21_01-11-31Z__hash-155bcb1e2fb4,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__glm-5.1-or__2026-06-21_01-11-31Z__hash-155bcb1e2fb4,right,left,framed_user_prompt_role:glm-5.1-or:grant_proposal_abstract:1:vf77cf55978:r0::b,framed_user_prompt_role:glm-5.1-or:grant_proposal_abstract:1:vf77cf55978:r0::a,role_strong,1.0
5,framed_user_prompt_role:framed_user_prompt_role:qwen3.6-plus-or:translation:5:v892c5bdec8:r4,framed_user_prompt_role,pair_deltas,qwen3.6-plus-or,translation,Translation,人类是否可以像实验中的小白鼠一样将体内来自路氏乳杆菌的色氨酸副产物诱导细胞发育，目前尚未可知，但在炎症性肠病患者中发现与色氨酸有关的基因缺陷。,,,framed_user_prompt_role:qwen3.6-plus-or:translation:5:v892c5bdec8:r4,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:qwen3.6-plus-or:translation:5:v892c5bdec8:r4::a,framed_user_prompt_role:qwen3.6-plus-or:translation:5:v892c5bdec8:r4::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_02-24-53Z__hash-22a3fad454a1,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__qwen3.6-plus-or__2026-06-21_02-24-53Z__hash-22a3fad454a1,right,left,framed_user_prompt_role:qwen3.6-plus-or:translation:5:v892c5bdec8:r4::b,framed_user_prompt_role:qwen3.6-plus-or:translation:5:v892c5bdec8:r4::a,tie,0.0
6,framed_user_prompt_role:framed_user_prompt_role:qwen3.5-9b-or:incident_postmortem:22:v14ba4183e8:r4,framed_user_prompt_role,pair_deltas,qwen3.5-9b-or,incident_postmortem,Incident postmortem,A log sampling change removed request IDs needed to debug intermittent checkout failures.,,,framed_user_prompt_role:qwen3.5-9b-or:incident_postmortem:22:v14ba4183e8:r4,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:qwen3.5-9b-or:incident_postmortem:22:v14ba4183e8:r4::a,framed_user_prompt_role:qwen3.5-9b-or:incident_postmortem:22:v14ba4183e8:r4::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_01-39-58Z__hash-c1cb1fbc1c54,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__qwen3.5-9b-or__2026-06-21_01-39-58Z__hash-c1cb1fbc1c54,right,left,framed_user_prompt_role:qwen3.5-9b-or:incident_postmortem:22:v14ba4183e8:r4::b,framed_user_prompt_role:qwen3.5-9b-or:incident_postmortem:22:v14ba4183e8:r4::a,tie,0.0
7,framed_user_prompt_role:framed_user_prompt_role:deepseek-v3.2-or:grant_proposal_abstract:13:v9e3f7bf621:r4,framed_user_prompt_role,pair_deltas,deepseek-v3.2-or,grant_proposal_abstract,Grant abstract,open-source hearing-screening for rural schools,,,framed_user_prompt_role:deepseek-v3.2-or:grant_proposal_abstract:13:v9e3f7bf621:r4,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:deepseek-v3.2-or:grant_proposal_abstract:13:v9e3f7bf621:r4::a,framed_user_prompt_role:deepseek-v3.2-or:grant_proposal_abstract:13:v9e3f7bf621:r4::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_01-12-15Z__hash-fda380bf80ec,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/grant_proposal_abstract__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_01-12-15Z__hash-fda380bf80ec,left,right,framed_user_prompt_role:deepseek-v3.2-or:grant_proposal_abstract:13:v9e3f7bf621:r4::a,framed_user_prompt_role:deepseek-v3.2-or:grant_proposal_abstract:13:v9e3f7bf621:r4::b,tie,0.0
8,framed_user_prompt_role:framed_user_prompt_role:glm-5.1-or:incident_postmortem:24:v1d128977cb:r9,framed_user_prompt_role,pair_deltas,glm-5.1-or,incident_postmortem,Incident postmortem,A third-party geocoding API rate limit broke address validation during a city permit deadline.,,,framed_user_prompt_role:glm-5.1-or:incident_postmortem:24:v1d128977cb:r9,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:glm-5.1-or:incident_postmortem:24:v1d128977cb:r9::a,framed_user_prompt_role:glm-5.1-or:incident_postmortem:24:v1d128977cb:r9::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-55-49Z__hash-a287abf4fba4,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/incident_postmortem__framed_user_prompt_role__glm-5.1-or__2026-06-21_04-55-49Z__hash-a287abf4fba4,left,right,framed_user_prompt_role:glm-5.1-or:incident_postmortem:24:v1d128977cb:r9::a,framed_user_prompt_role:glm-5.1-or:incident_postmortem:24:v1d128977cb:r9::b,tie,0.0
9,framed_user_prompt_role:framed_user_prompt_role:mimo-v25-pro-or:translation:11:v43b94ae34e:r4,framed_user_prompt_role,pair_deltas,mimo-v25-pro-or,translation,Translation,这十部音乐IP作品，方文山会自己执导一到两部，当周董被问到是否会帮忙执导时，周杰伦坦言当导演压力太大，希望找一些年轻的导演，让他们有发挥的空间。,,,framed_user_prompt_role:mimo-v25-pro-or:translation:11:v43b94ae34e:r4,role_strong,role_weak,user_strong,user_normal,framed_user_prompt_role:mimo-v25-pro-or:translation:11:v43b94ae34e:r4::a,framed_user_prompt_role:mimo-v25-pro-or:translation:11:v43b94ae34e:r4::b,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_02-38-28Z__hash-e570a8f605ed,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/translation__framed_user_prompt_role__mimo-v25-pro-or__2026-06-21_02-38-28Z__hash-e570a8f605ed,left,right,framed_user_prompt_role:mimo-v25-pro-or:translation:11:v43b94ae34e:r4::a,framed_user_prompt_role:mimo-v25-pro-or:translation:11:v43b94ae34e:r4::b,tie,0.0
