condition,resolved_n,target_wins,target_losses,ties,all_pairs_after_screen,pooled_win_rate,pooled_wilson_ci_lo,pooled_wilson_ci_hi,equal_cell_mean,equal_cell_ci_lo,equal_cell_ci_hi,bootstrap_cells,bootstrap_iterations,task,actor,domain,condition_label,task_label,actor_label
amount,3693,1914,1779,4707,8400,0.5182778229082047,0.5021519059393474,0.5343657542047976,0.5161514846384726,0.48047172445541203,0.5550279985873248,28,2000,,,,Amount,,
amount,756,377,379,1344,2100,0.49867724867724866,0.4631326683931059,0.5342352035796816,0.49987803110765533,0.43534868816923905,0.5657295282002469,7,2000,essay,,,Amount,Essay writing,
amount,954,597,357,1146,2100,0.6257861635220126,0.5946315150049677,0.6559318718581264,0.61944156351127,0.5518205881762074,0.6902958860585634,7,2000,grant_proposal_abstract,,,Amount,Grant abstract,
amount,1066,529,537,1034,2100,0.49624765478424016,0.46630082553429736,0.5262214309794682,0.49553861516768266,0.45010661890184717,0.5429665157369747,7,2000,incident_postmortem,,,Amount,Incident postmortem,
amount,917,411,506,1183,2100,0.44820065430752454,0.41629550343800514,0.48053798609485654,0.4497477287672825,0.41239782713677353,0.4856542835857866,7,2000,translation,,,Amount,Translation,
amount,523,262,261,677,1200,0.5009560229445507,0.4582540208948331,0.5436440833322688,0.4995870819701927,0.4091517857142858,0.607803923573246,4,2000,,deepseek-v3.2-or,,Amount,,DeepSeek V3.2
amount,450,257,193,750,1200,0.5711111111111111,0.5249719695140728,0.6160464384698604,0.5734016609956459,0.49942613777200245,0.6420236248713691,4,2000,,gpt-5.4-mini-or,,Amount,,GPT-5.4 mini
amount,548,303,245,652,1200,0.5529197080291971,0.5110672082697025,0.5940354422704512,0.5321035073683379,0.41171874999999997,0.6873280474233864,4,2000,,glm-5.1-or,,Amount,,GLM-5.1
amount,498,230,268,702,1200,0.46184738955823296,0.418520354515438,0.5057585201528719,0.45639058113649306,0.3977250225970524,0.5107219675706545,4,2000,,kimi-k2.5-or,,Amount,,Kimi K2.5
amount,645,343,302,555,1200,0.5317829457364341,0.49319976139158567,0.5699897889101474,0.5276848147992196,0.4606215583346199,0.6023539061293809,4,2000,,mimo-v25-pro-or,,Amount,,MiMo V2.5 Pro
amount,560,269,291,640,1200,0.48035714285714287,0.4392521259245652,0.5217298138462098,0.4940982267481553,0.4189186110098433,0.5855165531679933,4,2000,,qwen3.5-9b-or,,Amount,,Qwen3.5 9B
amount,469,250,219,731,1200,0.5330490405117271,0.48781112444027386,0.5777499625196483,0.529794519451264,0.46449914716678586,0.5991016805282996,4,2000,,qwen3.6-plus-or,,Amount,,Qwen3.6 Plus
moral,3550,2110,1440,4062,7612,0.5943661971830986,0.5781205392267513,0.6104078483683252,0.5957543740776331,0.5590220024976335,0.6350858107148015,28,2000,,,,Moral,,
moral,774,460,314,1205,1979,0.5943152454780362,0.55933946449319,0.6283594532545916,0.5939423599828793,0.5134979927407151,0.6737993409848738,7,2000,essay,,,Moral,Essay writing,
