domain,actor,actor_label,task,task_label,resolved_n,target_wins,target_losses,ties,target_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,familywise_ci_negative,p_two_sided_exact,holm_p_two_sided,holm_positive,holm_negative
all,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,260,43,217,40,0.16538461538461538,0.10098417112025683,0.24778448691040392,False,True,3.914397591576257e-29,1.096031325641352e-27,False,True
all,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,300,132,168,0,0.44,0.35102668373203794,0.5317488781465498,False,False,0.043128499277221725,0.6469274891583259,False,False
all,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,300,116,184,0,0.38666666666666666,0.30059349791805834,0.47798481424910894,False,True,0.0001029519411495358,0.0022649427052897873,False,True
all,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,250,118,132,50,0.472,0.3732547544976197,0.572299542963767,False,False,0.4110189397350888,1.0,False,False
all,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,232,144,88,68,0.6206896551724138,0.5165834087213057,0.7175716004986035,True,False,0.0002868816394511249,0.006024514428473624,True,False
all,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,299,118,181,1,0.39464882943143814,0.3079332328058805,0.4862559199519369,False,True,0.00032118197541937215,0.006423639508387443,False,True
all,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,298,215,83,2,0.7214765100671141,0.6341915319381646,0.7984227844384807,True,False,1.1815981831326941e-14,2.953995457831735e-13,True,False
all,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,244,107,137,56,0.4385245901639344,0.3401263784331523,0.5404197589294939,False,False,0.06315603347949954,0.7605097753028526,False,False
all,glm-5.1-or,GLM-5.1,essay,Essay writing,240,96,144,60,0.4,0.3031608614248458,0.5026241205937896,False,False,0.0023454452285535054,0.042218014113963094,False,True
all,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,300,75,225,0,0.25,0.1766609619983866,0.3349411050246744,False,True,1.4334031749523703e-18,3.7268482548761627e-17,False,True
all,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,300,144,156,0,0.48,0.38953216764051124,0.5713928870308538,False,False,0.525441995423553,1.0,False,False
all,glm-5.1-or,GLM-5.1,translation,Translation,250,125,125,50,0.5,0.40032585270197035,0.5996741472980296,False,False,1.0,1.0,False,False
all,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,277,122,155,23,0.4404332129963899,0.347880263740538,0.5359707143545651,False,False,0.05432212680734661,0.7605097753028526,False,False
all,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,300,70,230,0,0.23333333333333334,0.16216432926297183,0.3168851588681205,False,True,4.623304467538173e-21,1.2482922062353065e-19,False,True
all,kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,300,163,137,0,0.5433333333333333,0.4516632013851862,0.6329990481131191,False,False,0.1487925577410308,1.0,False,False
all,kimi-k2.5-or,Kimi K2.5,translation,Translation,255,132,123,45,0.5176470588235295,0.41853214277943285,0.6158016067620113,False,False,0.6164725642490372,1.0,False,False
all,mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,266,156,110,34,0.5864661654135338,0.488987928089786,0.6794319537104405,False,False,0.005694009004710744,0.09679815308008265,False,False
all,mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,299,160,139,1,0.5351170568561873,0.4433680597300795,0.6252362949307848,False,False,0.24737959546543004,1.0,False,False
all,mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,298,128,170,2,0.42953020134228187,0.34075235097755396,0.5215900489785743,False,False,0.01739889409698832,0.27838230555181315,False,False
all,mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,258,121,137,42,0.4689922480620155,0.3718893774057638,0.5677630127629587,False,False,0.35039724623965696,1.0,False,False
all,qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,285,133,152,15,0.4666666666666667,0.37431649856537286,0.560639876139212,False,False,0.28630192498754503,1.0,False,False
all,qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,300,104,196,0,0.3466666666666667,0.26348309204766696,0.43695011801321804,False,True,1.1962548883983185e-07,2.751386243316133e-06,False,True
all,qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,300,159,141,0,0.53,0.4384645417198777,0.6201478454282978,False,False,0.32635399192504716,1.0,False,False
all,qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,283,125,158,17,0.4416961130742049,0.3500546195364428,0.5361968760566203,False,False,0.05695265530067547,0.7605097753028526,False,False
all,qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,242,114,128,58,0.47107438016528924,0.3707644414253064,0.5730430773848689,False,False,0.4033894442085627,1.0,False,False
all,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,300,85,215,0,0.2833333333333333,0.20610056724423548,0.3706114409654683,False,True,3.766342172321747e-14,9.039221213572192e-13,False,True
all,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,300,177,123,0,0.59,0.4983635626516769,0.6774722364989028,False,False,0.002161138741240763,0.0410616360835745,True,False
all,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,244,109,135,56,0.44672131147540983,0.3479046306587611,0.548568548926273,False,False,0.10930711609979539,1.0,False,False
