domain,actor,actor_label,task,task_label,resolved_n,target_wins,target_losses,ties,target_win_rate_excluding_ties,familywise_ci_lo,familywise_ci_hi,familywise_ci_positive,p_two_sided_exact,holm_p_two_sided,holm_positive
all,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,124,58,66,176,0.46774193548387094,0.3287336077061506,0.6103512673816311,False,0.529769404365268,1.0,False
all,deepseek-v3.2-or,DeepSeek V3.2,grant_proposal_abstract,Grant abstract,139,81,58,161,0.5827338129496403,0.4469880999302072,0.7102304103763167,False,0.061649342510843884,1.0,False
all,deepseek-v3.2-or,DeepSeek V3.2,incident_postmortem,Incident postmortem,167,97,70,133,0.5808383233532934,0.45720628522250284,0.697755394501764,False,0.04390238535801179,1.0,False
all,deepseek-v3.2-or,DeepSeek V3.2,translation,Translation,118,50,68,182,0.423728813559322,0.2852444758702603,0.5711589194217489,False,0.11721294197631513,1.0,False
all,gpt-5.4-mini-or,GPT-5.4 mini,essay,Essay writing,110,57,53,190,0.5181818181818182,0.3675100899680994,0.6665683955120505,False,0.7750029828306251,1.0,False
all,gpt-5.4-mini-or,GPT-5.4 mini,grant_proposal_abstract,Grant abstract,127,68,59,173,0.5354330708661418,0.3943948668108896,0.6726084413879135,False,0.4779219422067188,1.0,False
all,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,164,85,79,136,0.5182926829268293,0.3946853417250752,0.6403533715160428,False,0.6963409692892951,1.0,False
all,gpt-5.4-mini-or,GPT-5.4 mini,translation,Translation,124,58,66,176,0.46774193548387094,0.3287336077061506,0.6103512673816311,False,0.529769404365268,1.0,False
all,glm-5.1-or,GLM-5.1,essay,Essay writing,91,47,44,209,0.5164835164835165,0.3512135064725736,0.6792556967494059,False,0.8340810393049423,1.0,False
all,glm-5.1-or,GLM-5.1,grant_proposal_abstract,Grant abstract,172,88,84,128,0.5116279069767442,0.39114313696432723,0.631175096167764,False,0.8191472524347495,1.0,False
all,glm-5.1-or,GLM-5.1,incident_postmortem,Incident postmortem,145,68,77,155,0.4689655172413793,0.3400625978871627,0.6008344892379897,False,0.5065964185708862,1.0,False
all,glm-5.1-or,GLM-5.1,translation,Translation,138,74,64,162,0.5362318840579711,0.4008953963016992,0.6679310174533557,False,0.4437150035266714,1.0,False
all,kimi-k2.5-or,Kimi K2.5,essay,Essay writing,102,60,42,198,0.5882352941176471,0.4293173576992519,0.7351987990561673,False,0.09183767826908244,1.0,False
all,kimi-k2.5-or,Kimi K2.5,grant_proposal_abstract,Grant abstract,162,91,71,138,0.5617283950617284,0.4363327590838187,0.6818396837138816,False,0.13524792193400165,1.0,False
all,kimi-k2.5-or,Kimi K2.5,incident_postmortem,Incident postmortem,132,70,62,168,0.5303030303030303,0.3921362320540823,0.6652904882682149,False,0.5425074179193996,1.0,False
all,kimi-k2.5-or,Kimi K2.5,translation,Translation,138,66,72,162,0.4782608695652174,0.3456188642362606,0.6130851790684724,False,0.6705341002455005,1.0,False
all,mimo-v25-pro-or,MiMo V2.5 Pro,essay,Essay writing,171,85,86,129,0.49707602339181284,0.3768019681152273,0.617587216650374,False,1.0,1.0,False
all,mimo-v25-pro-or,MiMo V2.5 Pro,grant_proposal_abstract,Grant abstract,180,96,84,120,0.5333333333333333,0.4149290312293415,0.6491688328052931,False,0.41235055741408777,1.0,False
all,mimo-v25-pro-or,MiMo V2.5 Pro,incident_postmortem,Incident postmortem,192,92,100,108,0.4791666666666667,0.3663437881594969,0.5934949100569868,False,0.6135472375934597,1.0,False
all,mimo-v25-pro-or,MiMo V2.5 Pro,translation,Translation,147,67,80,153,0.4557823129251701,0.3286069903929576,0.5871267243218592,False,0.322307648608775,1.0,False
all,qwen3.5-9b-or,Qwen3.5 9B,essay,Essay writing,96,42,54,204,0.4375,0.2832803083920125,0.6007068559799845,False,0.26146943628638797,1.0,False
all,qwen3.5-9b-or,Qwen3.5 9B,grant_proposal_abstract,Grant abstract,142,78,64,158,0.5492957746478874,0.41552402119046145,0.6782568625224267,False,0.27524996897157333,1.0,False
all,qwen3.5-9b-or,Qwen3.5 9B,incident_postmortem,Incident postmortem,140,79,61,160,0.5642857142857143,0.4292507954240424,0.692957444865972,False,0.15052769717161313,1.0,False
all,qwen3.5-9b-or,Qwen3.5 9B,translation,Translation,198,105,93,102,0.5303030303030303,0.41749381482642517,0.6409887803579165,False,0.4344463798742264,1.0,False
all,qwen3.6-plus-or,Qwen3.6 Plus,essay,Essay writing,81,39,42,219,0.48148148148148145,0.30955537212490536,0.6565537487927477,False,0.8243132151052083,1.0,False
all,qwen3.6-plus-or,Qwen3.6 Plus,grant_proposal_abstract,Grant abstract,136,66,70,164,0.4852941176470588,0.35127820751015904,0.6208078276512314,False,0.7971023348689008,1.0,False
all,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,113,61,52,187,0.5398230088495575,0.39016569364604864,0.6846062967970847,False,0.4518532686657418,1.0,False
all,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,116,55,61,184,0.47413793103448276,0.3300831546338274,0.6212768205296799,False,0.6426674253796114,1.0,False
