coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
utility_high_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,utility_high_vs_r0,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,r0,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,A,right,-1.0,"Output A's thesis statement is slightly more comprehensive, explicitly mentioning 'economic equity' as a key benefit, which is a strong and compelling stake. Output B's 'ultimately benefits the employer’s bottom line' is a bit less impactful."
utility_high_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,utility_high_vs_r0,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,r0,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",A,right,-1.0,"Output A's third argument on 'economic equity' provides a deeper societal and ethical dimension to the argument, explaining how unpaid leave disproportionately affects low-wage workers and minorities. Output B's arguments are strong but don't reach this additional layer of reasoning."
utility_high_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,utility_high_vs_r0,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,r0,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",A,right,-1.0,"Both outputs use the same example effectively. Output A provides slightly more specific data points, such as 'over 90% returning to their employers' and 'a 2011 survey,' making it marginally more convincing."
utility_high_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,utility_high_vs_r0,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,r0,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,A,right,-1.0,Output A explicitly addresses the 'outdated belief that paid leave harms the bottom line' and directly refutes it with the cost of high turnover. Output B also touches on this but A's phrasing is more direct and stronger.
utility_high_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,utility_high_vs_r0,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,r0,rhetorical_coherence_closure,"Which essay has better paragraph flow, transitions, and final synthesis?",A,right,-1.0,"Output A has a slightly stronger and more impactful concluding paragraph, framing paid family leave as a 'strategic and moral imperative' and connecting it to 'resilient, loyal, and diverse teams.' Output B's conclusion is good but a bit more generic."
utility_high_vs_r0:glm-5.1-or:essay:iEmployers-should-offer-paid-family-leave:r0:modgrid_essay_highlow:glm-5.1-or:essay:iEmployers should offer paid family leave:r0::a:r0:essay:glm-5.1-or:iEmployers should offer paid family leave:r0,utility_high_vs_r0,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,r0,plausibility_overreach,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",tie,tie,0.0,"Both outputs maintain a plausible and well-supported tone throughout, avoiding exaggerated or unsupported claims."
utility_high_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r0:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i3:r0::a:r0:incident_postmortem:gpt-5.4-mini-or:i3:r0,utility_high_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,r0,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"Output A provides more specific details on the impact, including 'Increased support volume and manual status checks by clinic staff' and 'risk of delayed refill follow-up increased', which are more concrete than B's 'Moderate operational impact'."
utility_high_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r0:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i3:r0::a:r0:incident_postmortem:gpt-5.4-mini-or:i3:r0,utility_high_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,r0,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"Output A provides precise timestamps (e.g., 09:02, 09:15) which are more useful than the relative 'T0 + minutes' used in Output B."
utility_high_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r0:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i3:r0::a:r0:incident_postmortem:gpt-5.4-mini-or:i3:r0,utility_high_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,r0,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,Output A clearly states the root cause as 'an incomplete cache invalidation implementation in the refill-status service' and elaborates on the 'design and validation gap' and the assumption about 'single update pathway' more precisely than B.
utility_high_vs_r0:gpt-5.4-mini-or:incident_postmortem:iA-cache-invalidation-bug-showed-stale-medication-refill-statuses-in-a-clinic-portal-for-two-hours.:r0:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i3:r0::a:r0:incident_postmortem:gpt-5.4-mini-or:i3:r0,utility_high_vs_r0,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,r0,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"Output A provides more distinct and well-explained contributing factors, such as 'Cache invalidation relied on a single event path' and 'Release change increased dependence on cache freshness', which are more detailed than B's 'Human assumptions'."
