coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,framed_empty,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,Output A provides more specific details on the duration (47 minutes) and quantifies the operational impact by mentioning teams pausing other changes. Output B is less precise with 'short period' and 'subset of archived notes'.
moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,framed_empty,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"Output A provides precise timestamps for each event, including the exact start and end of the exposure. Output B uses approximate times and is less granular."
moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,framed_empty,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,"Output A clearly identifies the proximate cause as a 'defect in the permissions migration logic and mapping process' and the deeper system failure as the loss of a 'legacy permission exception' combined with missing automated checks and lack of end-to-end verification. Output B is slightly less precise, stating 'faulty permissions mapping' and 'role-to-resource access rule intended for active customer notes was applied broadly to archived notes'."
moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,framed_empty,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"Output A provides more distinct and well-articulated contributing factors, such as 'Implicit role inheritance', 'Archived-data exception was not explicitly encoded', 'Test coverage focused on “expected access,” not negative access', and 'Insufficient blast-radius validation'. Output B's factors are slightly less distinct and overlap more with the root cause."
moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,framed_empty,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,A,left,1.0,"Output A explicitly states that 'Test coverage focused on “expected access,” not negative access' and 'Insufficient blast-radius validation after migration' as contributing factors, directly addressing why the issue wasn't detected earlier. It also mentions 'missing automated checks for denied access'. Output B touches on similar points but less directly in this section."
moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,framed_empty,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",B,right,-1.0,"Output B's action items are more concrete by including 'Owner' and 'Due' fields, even if the dates are placeholders. This makes them more actionable and assignable. Output A's action items are good but lack ownership and deadlines."
moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,framed_empty,blameless_systems_framing,Which postmortem avoids individual blame while still giving a candid causal account?,tie,tie,0.0,"Both outputs effectively frame the incident as a systems failure rather than individual blame, using phrases like 'blameless systems failure' and 'not caused by a single coding error alone' (A) or 'blameless incident' and 'not caused by a single person making an isolated mistake' (B)."
moral_low_vs_framed_empty:gpt-5.4-mini-or:incident_postmortem:iA-permissions-migration-briefly-gave-managers-read-access-to-archived-customer-notes.:r0:modgrid_incident_moral:gpt-5.4-mini-or:incident_postmortem:i21:r0::b:modgrid_incident_framed_empty:gpt-5.4-mini-or:incident_postmortem:i21:r0::a,moral_low_vs_framed_empty,arm_match,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,moral_low,framed_empty,operational_realism,Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,A,left,1.0,"Output A feels slightly more like a real engineering postmortem due to its precise timestamps, specific technical details in contributing factors (e.g., 'policy-as-code definitions'), and the nuanced explanation of the root cause. Output B is good but slightly more generic in its phrasing."
moral_low_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_moral:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::b:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,moral_low_vs_framed_empty,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,moral_low,framed_empty,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,A,right,-1.0,"Output A's thesis statement is more direct and clearly outlines the three main arguments in a single sentence, making the stakes immediately apparent. Output B's thesis is a bit more diffuse."
moral_low_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_moral:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::b:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,moral_low_vs_framed_empty,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,moral_low,framed_empty,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",B,left,1.0,"Output B's third argument about repeat visitation and deeper engagement offers a more nuanced and less generic reason for free admission, explaining how the *experience* of visiting changes. Output A's arguments, while valid, are more standard."
