coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,framed_empty,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"A provides more specific quantification of impact, such as '100% of real-time metrics dashboards were unavailable for 45 minutes' and 'delayed the identification and resolution of a separate P2 application latency incident by an estimated 30 minutes'. B's 'All real-time dashboards dependent on the metrics exporter displayed flat lines or stale data for 90 minutes' is less precise about the 'all' and the duration is longer than the timeline suggests."
utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,framed_empty,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"A provides a more granular and precise timeline with more distinct events and their exact timestamps, making it easier to follow the sequence of events. B's timeline has slightly larger gaps and fewer distinct events."
utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,framed_empty,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,"A identifies the proximate cause as a 'breaking change in the prometheus-client library v4.5.0' specifically 'strict type check on metric labels' and the deeper cause as 'insufficient integration testing for dependency upgrades'. B identifies a 'memory leak introduced in version 2.4.0 of the prometheus-client library' and 'lack of integration testing for memory stability under load', which is also good, but A's explanation of the specific breaking change is slightly more detailed."
utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,framed_empty,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"A provides three distinct and well-explained contributing factors: 'Lack of Fuzz Testing', 'Insufficient Canary Duration', and 'Single Point of Failure in Observability'. B's factors are also good but A's are slightly more varied and specific to the incident's nuances."
utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,framed_empty,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,A,left,1.0,"A explicitly mentions that 'the lack of visibility delayed the identification and resolution of a separate P2 application latency incident' and 'Dashboards go flat', directly addressing the failure of observability. It also notes that 'Initial alerts were ambiguous'. B also discusses observability loss but A's analysis is more direct and detailed regarding the impact on detection and diagnosis."
utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,framed_empty,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",A,left,1.0,"A's action items are highly concrete, owned, and include due dates, making them very actionable. For example, 'Implement Integration Testing for Dependencies: Add a staging integration test suite that replays production traffic samples against new library versions before approval. (Owner: DevOps Lead, Due: Nov 15)'. B's are also good but A's are slightly more detailed in their description and include specific owners and dates for all items."
utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,framed_empty,blameless_systems_framing,Which postmortem avoids individual blame while still giving a candid causal account?,tie,tie,0.0,"Both postmortems maintain a blameless tone, focusing on systemic issues and process improvements rather than individual fault. They both use phrases like 'insufficient integration testing' and 'lack of integration testing' to describe systemic failures."
utility_high_vs_framed_empty:qwen3.6-plus-or:incident_postmortem:iA-metrics-exporter-crashed-after-a-library-upgrade-leaving-dashboards-flat-during-an-incident.:r1:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i19:r1::a:modgrid_incident_framed_empty:qwen3.6-plus-or:incident_postmortem:i19:r1::a,utility_high_vs_framed_empty,arm_match,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,framed_empty,operational_realism,Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,A,left,1.0,"A feels slightly more realistic due to its detailed timeline, specific technical explanations (e.g., 'passing nil values for optional labels'), and the inclusion of 'What Went Well' and 'What Went Poorly' sections, which are common in real-world postmortems. B is also good but A's narrative feels a bit more grounded in a typical engineering incident."
utility_high_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,framed_empty,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,B,left,1.0,"Output B more effectively frames the stakes by acknowledging a counterargument ('While some argue that admission fees are necessary to sustain institutions') in its thesis, which immediately sets up a more compelling and nuanced discussion. Output A's thesis is clear but less dynamic."
utility_high_vs_framed_empty:glm-5.1-or:essay:iPublic-museums-should-be-free-to-all-visitors:r9:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a:modgrid_essay_framed_empty:glm-5.1-or:essay:iPublic museums should be free to all visitors:r9::a,utility_high_vs_framed_empty,arm_match,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,framed_empty,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",B,left,1.0,"Output B provides slightly deeper reasoning, particularly in its third argument where it discusses the 'cultural economy' and 'economic dividends' for the broader community, moving beyond just the museum's direct budget. Output A's arguments are solid but less expansive in their economic or institutional reasoning."
