coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,utility_low,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"A quantifies the duration of elevated login failures (2.5 hours) and the full fix deployment (later that day), while B uses vague terms like '[duration]' and '[later date]'."
utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,utility_low,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"A provides more precise timestamps and a clearer sequence of events, including the specific time of the full fix deployment. B uses more generic times like 'Same day' and '[Later date]'."
utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,utility_low,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,A clearly distinguishes between the direct cause (rate-limiting rule using IP as primary signal) and the deeper issue (login protection lacking context for trusted shared networks). B's explanation is slightly less structured in this distinction.
utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,utility_low,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"A provides a more comprehensive list of contributing factors, including 'Insufficient simulation/testing', 'Overreliance on a single signal', 'Configuration gap', and 'Monitoring blind spot', which are distinct from the root cause."
utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,utility_low,detection_observability_analysis,Which postmortem better explains why the incident was not detected earlier or why alerts/dashboards failed?,A,left,1.0,"A explicitly mentions 'Monitoring blind spot: Alerts were optimized for global login failures, but not for concentrated failures affecting a small number of shared IPs' as a contributing factor, directly addressing why detection was not earlier or better."
utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,utility_low,action_item_concreteness,"Which postmortem gives more concrete, owned, prioritized, and recurrence-preventing action items?",A,left,1.0,"A's action items are generally more concrete and actionable, for example, 'Implement network-aware rate limiting' and 'Add pre-deployment tests for shared-IP scenarios'. B's 'Revise rate-limiting policy' is a bit more general."
utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,utility_low,blameless_systems_framing,Which postmortem avoids individual blame while still giving a candid causal account?,tie,tie,0.0,"Both outputs successfully maintain a blameless tone, focusing on system failures and process improvements rather than individual fault."
utility:modgrid_incident_highlow:gpt-5.4-mini-or:incident_postmortem:i13:r1,utility,pair_deltas,gpt-5.4-mini-or,GPT-5.4 mini,incident_postmortem,Incident postmortem,utility_high,utility_low,operational_realism,Which postmortem sounds more like a real engineering postmortem rather than a polished but generic template?,A,left,1.0,"A's language and structure feel slightly more aligned with a typical engineering postmortem, particularly in its detailed timeline and specific contributing factors. B's 'What Went Well' and 'What Went Poorly' sections are a bit more generic."
utility:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6,utility,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,utility_low,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,A,right,-1.0,"Output A's thesis statement is more direct and clearly articulates the 'why' behind the claim, framing the stakes in terms of 'dismantling socioeconomic barriers,' 'fostering inclusive communities,' and 'benefiting the public that funds it.' Output B's framing is slightly more generic."
utility:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6,utility,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,utility_low,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",A,right,-1.0,"Output A provides slightly deeper reasoning, particularly in its first argument about transforming public learning into a luxury and its second argument about fostering civic pride and mutual understanding. Output B's arguments are solid but a bit more straightforward."
utility:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6,utility,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,utility_low,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",A,right,-1.0,Output A's example of the British Museum is more specific and illustrative. It connects the museum's founding principle to its current practice and vividly contrasts the experience of a low-income student with a wealthy collector. Output B's example of the British Library is good but less detailed in its impact.
utility:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6,utility,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,utility_low,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,A,right,-1.0,"Output A explicitly addresses a common counterargument regarding financial burdens and offers potential solutions (alternative funding models), which strengthens its overall argument. Output B does not include a counterargument."
utility:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6,utility,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,utility_low,rhetorical_coherence_closure,"Which essay has better paragraph flow, transitions, and final synthesis?",A,right,-1.0,"Output A has a slightly better flow and stronger transitions, especially with the inclusion of the counterargument and its response, which adds a layer of sophistication to the essay's structure. The conclusion also feels more impactful."
utility:modgrid_essay_highlow:glm-5.1-or:essay:iPublic museums should be free to all visitors:r6,utility,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,utility_high,utility_low,plausibility_overreach,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",tie,tie,0.0,Both essays maintain a plausible and well-supported tone without exaggerated or dubious claims.
utility:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5,utility,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,utility_low,impact_specificity,"Which postmortem quantifies scope, duration, affected systems/users, severity, and business/customer impact better?",A,left,1.0,"Output A provides more specific details on the operational impact (support team overwhelmed, email deliverability reputation degraded) and brand impact (social media posts), beyond just customer confusion and support ticket volume."
utility:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5,utility,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,utility_low,timeline_precision,Which postmortem gives a clearer chronological account with useful timestamps and event sequencing?,A,left,1.0,"Output A provides a more detailed and granular timeline, including specific actions taken at each timestamp (e.g., 'Communications team drafted a status page update', 'hotfix was deployed'). Output B's timeline is slightly less detailed in its actions."
utility:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5,utility,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,utility_low,root_cause_specificity,Which postmortem identifies the proximate technical failure and the deeper system failure more precisely?,A,left,1.0,Output A more precisely identifies the specific logic error ('treated 504 Gateway Timeout errors as immediate retry events') and explains the feedback loop it created. Output B describes a 'misconfigured' linear retry but is less specific about the exact error code handling.
utility:modgrid_incident_highlow:qwen3.6-plus-or:incident_postmortem:i1:r5,utility,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,incident_postmortem,Incident postmortem,utility_high,utility_low,contributing_factor_analysis,"Which postmortem better separates root cause from contributing factors such as monitoring, process, deployment, review, or testing gaps?",A,left,1.0,"Output A clearly separates contributing factors from the root cause and provides distinct, well-defined factors like 'Lack of Idempotency', 'Insufficient Error Handling Granularity', and 'Monitoring Gaps'. Output B lists contributing factors but includes 'Insufficient Load Testing' which is more of a testing gap than a direct contributing factor to the incident's mechanism."
