run_id,run_dir,actor,actor_label,task,task_label,pair_uid,panel_winner_condition,complete,n_valid_vote_rows
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:0:v15c052f567:r0,tie,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:0:v15c052f567:r1,user_strong,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:0:v15c052f567:r2,tie,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:0:v15c052f567:r3,tie,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:0:v15c052f567:r4,tie,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:1:vfe3d8ee317:r0,tie,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:1:vfe3d8ee317:r1,tie,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:1:vfe3d8ee317:r2,user_strong,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:1:vfe3d8ee317:r3,tie,True,6
essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__framed_user_prompt_role__deepseek-v3.2-or__2026-06-21_00-41-04Z__hash-3e1c3dcc3c45,deepseek-v3.2-or,DeepSeek V3.2,essay,Essay writing,framed_user_prompt_role:deepseek-v3.2-or:essay:1:vfe3d8ee317:r4,tie,True,6
