actor,task,run_dir,expected_pairs,valid_pairs,complete_pairs,panel_user_strong,panel_user_normal,panel_tie,panel_unresolved
deepseek-v3.2-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-10-23Z__hash-e0eedfbe97df,150,149,2,0,0,2,148
deepseek-v3.2-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__deepseek-v3.2-or__2026-06-20_17-24-27Z__hash-e0eedfbe97df,150,150,150,39,9,102,0
glm-5.1-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__glm-5.1-or__2026-06-20_17-10-33Z__hash-5cc91aa949cf,150,146,98,39,5,54,52
glm-5.1-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__glm-5.1-or__2026-06-20_17-24-31Z__hash-5cc91aa949cf,150,150,150,65,7,78,0
gpt-5.4-mini-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__gpt-5.4-mini-or__2026-06-20_16-58-28Z__hash-958a1d578531,150,150,150,116,0,34,0
kimi-k2.5-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__kimi-k2.5-or__2026-06-20_17-10-45Z__hash-9362ea34bf5a,150,150,49,13,2,34,101
kimi-k2.5-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__kimi-k2.5-or__2026-06-20_17-24-37Z__hash-9362ea34bf5a,150,150,150,43,11,96,0
mimo-v25-pro-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__mimo-v25-pro-or__2026-06-20_17-10-55Z__hash-e67181c7895f,150,150,7,1,0,6,143
mimo-v25-pro-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__mimo-v25-pro-or__2026-06-20_17-24-41Z__hash-e67181c7895f,150,150,150,51,23,76,0
qwen3.5-9b-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__qwen3.5-9b-or__2026-06-20_17-11-04Z__hash-aa44f3aec959,150,150,3,0,0,3,147
qwen3.5-9b-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__qwen3.5-9b-or__2026-06-20_17-24-46Z__hash-aa44f3aec959,150,150,150,23,27,100,0
qwen3.6-plus-or,essay,/Users/christopherackerman/repos/Utility-Behavior-Gap/outputs/api/runs/essay__user_prompt_role__qwen3.6-plus-or__2026-06-20_17-11-14Z__hash-9a0977ad62b1,150,150,110,29,5,76,40
