coding_pair_uid,comparison_name,source_mode,actor,actor_label,task,task_label,left_condition,right_condition,dimension,description,winner,winner_side,left_minus_right_score,reason
amount:modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9,amount,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,amount_high,amount_low,fluency_idiomaticity,Which translation reads more naturally and idiomatically in English?,tie,tie,0.0,Both translations are equally fluent and idiomatic.
amount:modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9,amount,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,amount_high,amount_low,terminology_precision,Which translation uses more domain-appropriate terminology?,tie,tie,0.0,Both translations use appropriate terminology.
amount:modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9,amount,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,amount_high,amount_low,named_entity_fidelity,"Which translation better handles names, organizations, places, titles, acronyms, and transliterations?",tie,tie,0.0,Both translations correctly handle the named entity 'Australian Bureau of Statistics (ABS)'.
amount:modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9,amount,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,amount_high,amount_low,numeric_factual_fidelity,"Which translation better preserves numbers, dates, currencies, percentages, units, and factual details?",tie,tie,0.0,Both translations accurately preserve all numerical and factual details.
amount:modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9,amount,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,amount_high,amount_low,additions_omissions,Which translation has fewer unsupported additions and fewer omissions of source meaning?,tie,tie,0.0,Neither translation has unsupported additions or omissions.
amount:modgrid_translation_amount:qwen3.6-plus-or:translation:i17:r9,amount,pair_deltas,qwen3.6-plus-or,Qwen3.6 Plus,translation,Translation,amount_high,amount_low,structural_clarity,"Which translation more clearly handles clauses, lists, appositives, parentheticals, quotation, and sentence breaks while preserving source relations?",tie,tie,0.0,Both translations maintain clear structural clarity.
amount:modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1,amount,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,amount_high,amount_low,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,tie,tie,0.0,"Both essays present a clear thesis and effectively frame the stakes of the argument, using similar language and structure."
amount:modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1,amount,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,amount_high,amount_low,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",tie,tie,0.0,"Both essays offer similar levels of reasoning for their arguments, focusing on accessibility, education, and community benefits. Neither delves significantly deeper into causal, economic, ethical, or institutional reasoning than the other."
amount:modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1,amount,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,amount_high,amount_low,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",A,right,-1.0,"Output A's example of the Smithsonian Institution is slightly more specific and illustrative by mentioning 'A family traveling on a tight budget can explore the wonders of the Air and Space Museum or the rich narratives of the African American History Museum without financial strain,' which directly ties back to the argument about democratizing knowledge and equal access. Output B's example is good but slightly less specific in its illustration of the impact."
amount:modgrid_essay_amount:glm-5.1-or:essay:iPublic museums should be free to all visitors:r1,amount,pair_deltas,glm-5.1-or,GLM-5.1,essay,Essay writing,amount_high,amount_low,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,tie,tie,0.0,"Neither essay explicitly anticipates or responds to counterarguments (e.g., funding challenges for free museums)."
